source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[treatment]	factor value[enrichment process]
RIC_UV_rep1	homo sapiens	cell culture	T cell	1	t-cell acute lymphoblastic leukemia	cell line	Ultraviolet Radiation	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr2.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT127C	2	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	Ultraviolet Radiation	RIC
eRIC_UV_rep1	homo sapiens	cell culture	T cell	1	t-cell acute lymphoblastic leukemia	cell line	Ultraviolet Radiation	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr2.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT128N	2	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	Ultraviolet Radiation	eRIC
RIC_noUV_rep2	homo sapiens	cell culture	T cell	2	t-cell acute lymphoblastic leukemia	cell line	not applicable	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr2.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT128C	2	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	not applicable	RIC
eRIC_noUV_rep2	homo sapiens	cell culture	T cell	2	t-cell acute lymphoblastic leukemia	cell line	not applicable	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr2.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT129N	2	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	not applicable	eRIC
RIC_UV_rep2	homo sapiens	cell culture	T cell	2	t-cell acute lymphoblastic leukemia	cell line	Ultraviolet Radiation	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr2.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT129C	2	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	Ultraviolet Radiation	RIC
eRIC_UV_rep2	homo sapiens	cell culture	T cell	2	t-cell acute lymphoblastic leukemia	cell line	Ultraviolet Radiation	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr2.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT130N	2	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	Ultraviolet Radiation	eRIC
RIC_noUV_rep1	homo sapiens	cell culture	T cell	1	t-cell acute lymphoblastic leukemia	cell line	not applicable	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr3.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr3.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT126	3	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	not applicable	RIC
eRIC_noUV_rep1	homo sapiens	cell culture	T cell	1	t-cell acute lymphoblastic leukemia	cell line	not applicable	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr3.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr3.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT127N	3	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	not applicable	eRIC
RIC_UV_rep1	homo sapiens	cell culture	T cell	1	t-cell acute lymphoblastic leukemia	cell line	Ultraviolet Radiation	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr3.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr3.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT127C	3	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	Ultraviolet Radiation	RIC
eRIC_UV_rep1	homo sapiens	cell culture	T cell	1	t-cell acute lymphoblastic leukemia	cell line	Ultraviolet Radiation	European ancestry	14Y	male	Jurkat	CVCL_0065	Jurkat	Roswell Park Memorial Institute 1640 Medium	170421_P0309_MR_JP_Rep12_fr3.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD010941/170421_P0309_MR_JP_Rep12_fr3.raw	v3.0.0	ms-proteomics v1.1.0	human v1.1.0	cell-lines v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	TMT128N	3	HCD	High-pH reversed-phase chromatography (hpHRP)	32 NCE	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=fixed;TA=K;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=N-term;PP=Protein N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=TMT6plex;AC=UNIMOD:737;MT=variable;TA=N-term;PP=Protein N-term	orbitrap	350m/z-1400m/z	Ultraviolet Radiation	eRIC
