source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150509NO_uLC_0413-18r_NO_1_5	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	5	20150509NO_uLC_0413-18r_NO_1_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_3	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	3	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_1	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_10	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	10	20150509NO_uLC_0413-18r_NO_1_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_8	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	8	20150509NO_uLC_0413-18r_NO_1_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_2	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	2	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_7	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	7	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_4	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	4	20150509NO_uLC_0413-18r_NO_1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_2	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	2	20150509NO_uLC_0413-18r_NO_1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_12	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	12	20150509NO_uLC_0413-18r_NO_1_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_3	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	3	20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_6	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	6	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_11	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	11	20150509NO_uLC_0413-18r_NO_1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_7	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	7	20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_4	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	4	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_7	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	7	20150509NO_uLC_0413-18r_NO_1_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_4	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	4	20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150509NO_uLC_0413-18r_NO_1_3	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	3	20150509NO_uLC_0413-18r_NO_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150509NO_uLC_0413-18r_NO_1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150509NO_uLC_0413-18r_NO_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_9	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	9	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_8	homo sapiens	T cell	not applicable	Acute leukemia	enrichment of phosphorylated protein	8	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002839/20150326NO_Qe1_0326a24r_TiO2_acly_Rep2_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
