source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OR5_20100520_CP_EC_mm1_rerun_SCX03	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_rerun_SCX03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_rerun_SCX03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_rerun_SCX03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_rerun_SCX11	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_rerun_SCX11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_rerun_SCX11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_rerun_SCX11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_SCX37	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_SCX37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_SCX37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_SCX37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_SCX03	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_SCX03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_SCX03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_SCX03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_HCD_SCX08	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_HCD_SCX08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_HCD_SCX08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_HCD_SCX08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_rerun_HCD_SCX09	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_rerun_HCD_SCX09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm2_SCX12	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm2_SCX12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm2_SCX12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm2_SCX12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_rerun_SCX10	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_rerun_SCX10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_rerun_SCX10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_rerun_SCX10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm2_rerun_SCX19	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm2_rerun_SCX19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm2_rerun_SCX19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm2_rerun_SCX19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_SCX39	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_SCX39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_SCX39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_SCX39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_SCX28	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_SCX28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_SCX28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_SCX28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_SCX24	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_SCX24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_SCX24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_SCX24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_rerun_HCD_SCX08	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_rerun_HCD_SCX08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_HCD_SCX17	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_HCD_SCX17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_HCD_SCX17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_HCD_SCX17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm2_rerun_SCX10	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm2_rerun_SCX10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm2_rerun_SCX10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm2_rerun_SCX10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_SCX21	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_SCX21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_SCX21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_SCX21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_rerun_SCX12	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_rerun_SCX12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_rerun_SCX12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_rerun_SCX12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_SCX08	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_SCX08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_SCX08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_SCX08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_rerun_SCX32	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_rerun_SCX32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_rerun_SCX32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_rerun_SCX32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm2_HCD_SCX17	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm2_HCD_SCX17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm2_HCD_SCX17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm2_HCD_SCX17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_SCX33	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_SCX33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_SCX33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_SCX33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_rerun_SCX33	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_rerun_SCX33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_rerun_SCX33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_rerun_SCX33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_SCX16	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_SCX16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_SCX16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_SCX16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_SCX07	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_SCX07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_SCX07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_SCX07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm1_SCX28	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm1_SCX28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm1_SCX28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm1_SCX28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm1_rerun_SCX14	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm1_rerun_SCX14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm1_rerun_SCX14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm1_rerun_SCX14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100520_CP_EC_mm2_rerun_HCD_SCX10	Mus musculus	heart	not applicable	not available	1	OR5_20100520_CP_EC_mm2_rerun_HCD_SCX10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100520_CP_EC_mm2_rerun_HCD_SCX10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100520_CP_EC_mm2_rerun_HCD_SCX10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
OR5_20100507_CP_EC_mm2_rerun_rerun_SCX28	Mus musculus	heart	not applicable	not available	1	OR5_20100507_CP_EC_mm2_rerun_rerun_SCX28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	strong cation exchange chromatography	dithiothreitol	iodoacetamide	1	1	OR5_20100507_CP_EC_mm2_rerun_rerun_SCX28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/08/PXD000174/OR5_20100507_CP_EC_mm2_rerun_rerun_SCX28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
