source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[product]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[product]
lib_purespikesfa11fa12pk_s3	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_PureSpikesFA11FA12PK_S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Lib_PureSpikesFA11FA12PK_S3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s1	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Lib_plasmaproductA_pH4_S1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s2	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Lib_plasmaproductA_pH4_S2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s3	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Lib_plasmaproductA_pH4_S3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s4	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	4	1	Lib_plasmaproductA_pH4_S4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s5	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	5	1	Lib_plasmaproductA_pH4_S5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s6	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	6	1	Lib_plasmaproductA_pH4_S6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s7	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	7	1	Lib_plasmaproductA_pH4_S7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph4_s8	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH4_S8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	8	1	Lib_plasmaproductA_pH4_S8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s1	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Lib_plasmaproductA_pH7_S1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s2	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Lib_plasmaproductA_pH7_S2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s3	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Lib_plasmaproductA_pH7_S3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s4	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	4	1	Lib_plasmaproductA_pH7_S4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s5	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	5	1	Lib_plasmaproductA_pH7_S5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s6	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	6	1	Lib_plasmaproductA_pH7_S6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s7	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	7	1	Lib_plasmaproductA_pH7_S7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph7_s8	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH7_S8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	8	1	Lib_plasmaproductA_pH7_S8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s1	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Lib_plasmaproductA_pH9_S1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s2	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Lib_plasmaproductA_pH9_S2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s3	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Lib_plasmaproductA_pH9_S3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s4	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	4	1	Lib_plasmaproductA_pH9_S4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s5	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	5	1	Lib_plasmaproductA_pH9_S5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s6	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	6	1	Lib_plasmaproductA_pH9_S6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s7	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	7	1	Lib_plasmaproductA_pH9_S7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproducta_ph9_s8	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductA_pH9_S8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	8	1	Lib_plasmaproductA_pH9_S8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s1	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Lib_plasmaproductB_pH4_S1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s2	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Lib_plasmaproductB_pH4_S2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s3	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Lib_plasmaproductB_pH4_S3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s4	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	4	1	Lib_plasmaproductB_pH4_S4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s5	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	5	1	Lib_plasmaproductB_pH4_S5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s6	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	6	1	Lib_plasmaproductB_pH4_S6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s7	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	7	1	Lib_plasmaproductB_pH4_S7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph4_s8	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH4_S8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	8	1	Lib_plasmaproductB_pH4_S8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s1	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Lib_plasmaproductB_pH7_S1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s2	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Lib_plasmaproductB_pH7_S2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s3	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Lib_plasmaproductB_pH7_S3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s4	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	4	1	Lib_plasmaproductB_pH7_S4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s5	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	5	1	Lib_plasmaproductB_pH7_S5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s6	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	6	1	Lib_plasmaproductB_pH7_S6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s7	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	7	1	Lib_plasmaproductB_pH7_S7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph7_s8	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH7_S8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	8	1	Lib_plasmaproductB_pH7_S8.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph9_s1	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH9_S1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Lib_plasmaproductB_pH9_S1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph9_s2	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH9_S2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Lib_plasmaproductB_pH9_S2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph9_s3	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH9_S3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Lib_plasmaproductB_pH9_S3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph9_s4	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH9_S4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	4	1	Lib_plasmaproductB_pH9_S4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph9_s5	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH9_S5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	5	1	Lib_plasmaproductB_pH9_S5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
lib_plasmaproductb_ph9_s6	Homo sapiens	Blood plasma	not available	1	spectral library	Lib_plasmaproductB_pH9_S6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	6	1	Lib_plasmaproductB_pH9_S6.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
