source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
FIG_5E_RECIPROCAL_SHHi_B_CYTOPLASMIC_7_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_SHHi_B_CYTOPLASMIC_7_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_SHHi_B_CYTOPLASMIC_7_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_SHHi_B_CYTOPLASMIC_7_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_5_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_5_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_5_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_SHHi_A_CYTOPLASMIC_5_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5_2B_2_SILAC_PHOSPHO	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5_2B_2_SILAC_PHOSPHO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5_2B_2_SILAC_PHOSPHO.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5_2B_2_SILAC_PHOSPHO.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_IGFR1I_AXLI_B_MEMBRANE_6_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_B_MEMBRANE_6_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_IGFR1I_AXLI_B_MEMBRANE_6_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_IGFR1I_AXLI_B_MEMBRANE_6_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_MEMBRANE_11_2_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_MEMBRANE_11_2_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_MEMBRANE_11_2_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_MEMBRANE_11_2_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_CELL_AUTO_B_MEMBRANE_2_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_CELL_AUTO_B_MEMBRANE_2_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_CELL_AUTO_B_MEMBRANE_2_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_CELL_AUTO_B_MEMBRANE_2_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_CELL_AUTO_B_MEMBRANE_9_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_CELL_AUTO_B_MEMBRANE_9_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_CELL_AUTO_B_MEMBRANE_9_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_CELL_AUTO_B_MEMBRANE_9_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C7_CTAP	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C7_CTAP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C7_CTAP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_5E_RECIPROCAL_AKTI_C_CYTOPLASMIC_C7_CTAP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_CYTOPLASMIC_1_2_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_CYTOPLASMIC_1_2_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_CYTOPLASMIC_1_2_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_CYTOPLASMIC_1_2_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
FIG_1F_SECRETED_1_8_SILAC	mus musculus	not available	not applicable	pancreatic ductal adenocarcinoma	enrichment of phosphorylated protein	1	FIG_1F_SECRETED_1_8_SILAC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.05 Da	hydrophilic interaction chromatography (hilic)	1	1	FIG_1F_SECRETED_1_8_SILAC.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003223/FIG_1F_SECRETED_1_8_SILAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
