source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[IP target]
usp7-biorep1	Mus musculus	not applicable	not available	E14	not available	cell line	1	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep1-F6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	6	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep1-F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep1	Mus musculus	not applicable	not available	E14	not available	cell line	1	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep1-F7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	7	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep1-F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep2	Mus musculus	not applicable	not available	E14	not available	cell line	2	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep2-F6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	6	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep2-F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep2	Mus musculus	not applicable	not available	E14	not available	cell line	2	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep2-F7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	7	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep2-F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep3	Mus musculus	not applicable	not available	E14	not available	cell line	3	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep3-F6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	6	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep3-F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep3	Mus musculus	not applicable	not available	E14	not available	cell line	3	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep3-F7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	7	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep3-F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep4	Mus musculus	not applicable	not available	E14	not available	cell line	4	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep4-F6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	6	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep4-F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep4	Mus musculus	not applicable	not available	E14	not available	cell line	4	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep4-F7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	7	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep4-F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep5	Mus musculus	not applicable	not available	E14	not available	cell line	5	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep5-F6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	6	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep5-F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
usp7-biorep5	Mus musculus	not applicable	not available	E14	not available	cell line	5	not available	not available	not available	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep5-F7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	7	1	CAB20221120yaonan_zhedaIP-MS_60min_DIA_usp7-biorep5-F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	USP7
