source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[amount of starting material]
QCHeLa10ng_ColTT1_BackFlush_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run QCHeLa10ng_ColTT1_BackFlush_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	2	QCHeLa10ng_ColTT1_BackFlush_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10 ng
QCHeLa10ng_ColTT1_BackFlush_05	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run QCHeLa10ng_ColTT1_BackFlush_05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	3	QCHeLa10ng_ColTT1_BackFlush_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10 ng
10ngQCHeLa_ColTT1_ForwardFlush_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 10ngQCHeLa_ColTT1_ForwardFlush_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	1	10ngQCHeLa_ColTT1_ForwardFlush_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10 ng
10ngQCHeLa_ColTT1_ForwardFlush_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 10ngQCHeLa_ColTT1_ForwardFlush_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	2	10ngQCHeLa_ColTT1_ForwardFlush_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10 ng
10ngQCHeLa_ColTT1_ForwardFlush_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 10ngQCHeLa_ColTT1_ForwardFlush_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	3	10ngQCHeLa_ColTT1_ForwardFlush_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	10 ng
2ngQCHeLa_50umC12_0min_1x_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_50umC12_0min_1x_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	1	2ngQCHeLa_50umC12_0min_1x_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_50umC12_0min_1x_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_50umC12_0min_1x_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	2	2ngQCHeLa_50umC12_0min_1x_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_50umC12_0min_1x_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_50umC12_0min_1x_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	3	2ngQCHeLa_50umC12_0min_1x_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_75umC12_0min_1x_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_75umC12_0min_1x_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	1	2ngQCHeLa_75umC12_0min_1x_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_75umC12_0min_1x_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_75umC12_0min_1x_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	2	2ngQCHeLa_75umC12_0min_1x_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_75umC12_0min_1x_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_75umC12_0min_1x_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	3	2ngQCHeLa_75umC12_0min_1x_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_75umC8_0min_1x_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_75umC8_0min_1x_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	1	2ngQCHeLa_75umC8_0min_1x_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_75umC8_0min_1x_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_75umC8_0min_1x_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	2	2ngQCHeLa_75umC8_0min_1x_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
2ngQCHeLa_75umC8_0min_1x_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 2ngQCHeLa_75umC8_0min_1x_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	3	2ngQCHeLa_75umC8_0min_1x_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	2 ng
20ngQCHeLa_50umC12_0min_1x_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20ngQCHeLa_50umC12_0min_1x_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	1	20ngQCHeLa_50umC12_0min_1x_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20 ng
20ngQCHeLa_50umC12_0min_1x_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20ngQCHeLa_50umC12_0min_1x_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	2	20ngQCHeLa_50umC12_0min_1x_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20 ng
20ngQCHeLa_50umC12_0min_1x_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20ngQCHeLa_50umC12_0min_1x_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	3	20ngQCHeLa_50umC12_0min_1x_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20 ng
20ngQCHeLa_75umC12_0min_1x_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20ngQCHeLa_75umC12_0min_1x_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	1	20ngQCHeLa_75umC12_0min_1x_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20 ng
20ngQCHeLa_75umC12_0min_1x_02	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20ngQCHeLa_75umC12_0min_1x_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	2	20ngQCHeLa_75umC12_0min_1x_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20 ng
20ngQCHeLa_75umC12_0min_1x_03	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20ngQCHeLa_75umC12_0min_1x_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	3	20ngQCHeLa_75umC12_0min_1x_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20 ng
20ngQCHeLa_75umC8_0min_1x_01	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20ngQCHeLa_75umC8_0min_1x_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	30 NCE	not available	not available	1	1	20ngQCHeLa_75umC8_0min_1x_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	20 ng
