source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_1st_01	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	1	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_1st_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_1st_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_1st_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_10	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	10	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_05	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	5	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_08	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	8	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_10	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	10	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_06	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	6	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix1_HpH_TiO2_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_11	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	11	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_11	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	11	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_09	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	9	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_11	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	11	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_HpH_12	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	12	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_HpH_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_HpH_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix1_TiO2_HpH_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_01	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix3_HpH_TiO2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_05	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	5	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150630_QE7_UPLC10_DBJ_SA_COLLAB_ASSET_WP8_Asp14_Mix2_HpH_TiO2_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_06	homo sapiens	Muscle cell	not applicable	Peripheral primitive neuroectodermal tumor	enrichment of phosphorylated protein	6	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD002765/20150617_QE3_UPLC11_AKP_SA_COLLAB_ASSET_WP8_Asp14_Mix3_TiO2_HpH_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Muscle cell
