source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
110803HaCaT_polyIC6_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_polyIC6_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_polyIC6_110712.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_polyIC6_110712.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110803HaCaT_CTR2_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_CTR2_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_CTR2_110712.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_CTR2_110712.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110803HaCaT_polyIC4_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_polyIC4_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_polyIC4_110712.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_polyIC4_110712.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110805HaCaT_CTR2_110719	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110805HaCaT_CTR2_110719	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110805HaCaT_CTR2_110719.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110805HaCaT_CTR2_110719.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110805HaCaT_CTR3_110719	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110805HaCaT_CTR3_110719	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110805HaCaT_CTR3_110719.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110805HaCaT_CTR3_110719.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110803HaCaT_polyIC3_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_polyIC3_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_polyIC3_110712.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_polyIC3_110712.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110803HaCaT_CTR5_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_CTR5_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_CTR5_110712.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_CTR5_110712.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110805HaCaT_CTR5_110719	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110805HaCaT_CTR5_110719	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110805HaCaT_CTR5_110719.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110805HaCaT_CTR5_110719.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110803HaCaT_CTR3_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_CTR3_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_CTR3_110712.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_CTR3_110712.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110805HaCaT_polyIC5_110719	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110805HaCaT_polyIC5_110719	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110805HaCaT_polyIC5_110719.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110805HaCaT_polyIC5_110719.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110803HaCaT_CTR6_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_CTR6_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_CTR6_110712.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_CTR6_110712.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110803HaCaT_polyIC2_110712	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110803HaCaT_polyIC2_110712	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110803HaCaT_polyIC2_110712.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110803HaCaT_polyIC2_110712.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110805HaCaT_CTR6_110719	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110805HaCaT_CTR6_110719	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110805HaCaT_CTR6_110719.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110805HaCaT_CTR6_110719.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
110805HaCaT_polyIC6_110719	Homo sapiens	kidney	not applicable	not available	phosphopeptide enrichment (IMAC)	1	110805HaCaT_polyIC6_110719	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=QSTAR;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	110805HaCaT_polyIC6_110719.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000577/110805HaCaT_polyIC6_110719.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	kidney
