source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
TH_DNCB_CYSNO2_U	homo sapiens	B cell	not applicable	not available	1	TH_DNCB_CYSNO2_U	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_DNCB_CYSNO2_U.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_DNCB_CYSNO2_U.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Control2D	homo sapiens	B cell	not applicable	not available	1	Control2D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Control2D.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/Control2D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
LPS2U	homo sapiens	B cell	not applicable	not available	1	LPS2U	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	LPS2U.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/LPS2U.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_DNCB1_D	homo sapiens	B cell	not applicable	not available	1	TH_DNCB1_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_DNCB1_D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_DNCB1_D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_CON1_U	homo sapiens	B cell	not applicable	not available	1	TH_CON1_U	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_CON1_U.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_CON1_U.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_CON_CYSNO2_U	homo sapiens	B cell	not applicable	not available	1	TH_CON_CYSNO2_U	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_CON_CYSNO2_U.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_CON_CYSNO2_U.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_DNCB_CYSNO2_D	homo sapiens	B cell	not applicable	not available	1	TH_DNCB_CYSNO2_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_DNCB_CYSNO2_D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_DNCB_CYSNO2_D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_CON1_D	homo sapiens	B cell	not applicable	not available	1	TH_CON1_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_CON1_D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_CON1_D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_DNCB_CYSNO1_D	homo sapiens	B cell	not applicable	not available	1	TH_DNCB_CYSNO1_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_DNCB_CYSNO1_D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_DNCB_CYSNO1_D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_CON_CYSNO1_D	homo sapiens	B cell	not applicable	not available	1	TH_CON_CYSNO1_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_CON_CYSNO1_D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_CON_CYSNO1_D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
Control1D	homo sapiens	B cell	not applicable	not available	1	Control1D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	Control1D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/Control1D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_CON2_U	homo sapiens	B cell	not applicable	not available	1	TH_CON2_U	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_CON2_U.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_CON2_U.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
LPS1D	homo sapiens	B cell	not applicable	not available	1	LPS1D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	LPS1D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/LPS1D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
TH_DNCB2_D	homo sapiens	B cell	not applicable	not available	1	TH_DNCB2_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	TH_DNCB2_D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD001001/TH_DNCB2_D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	B cell
