source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	characteristics[host organism]	characteristics[microbiome source]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]
LCA_infect_prot_A_A_T0_11_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_A_A_T0_11_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_A_A_T0_11_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_A_A_T0_11_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_A_A_T0_11_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S10_21_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S10_21_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S10_21_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S10_21_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S10_21_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S11_22_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S11_22_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S11_22_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S11_22_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S11_22_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S1_12_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S1_12_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S1_12_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S1_12_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S1_12_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S2_13_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S2_13_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S2_13_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S2_13_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S2_13_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S3_14_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S3_14_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S3_14_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S3_14_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S3_14_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S4_15_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S4_15_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S4_15_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S4_15_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S4_15_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S5_16_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S5_16_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S5_16_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S5_16_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S5_16_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S6_17_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S6_17_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S6_17_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S6_17_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S6_17_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S7_i_18_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S7_i_18_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S7_i_18_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S7_i_18_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S7_i_18_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S8_19_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S8_19_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S8_19_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S8_19_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S8_19_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_S9_20_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_S9_20_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_S9_20_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_S9_20_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_S9_20_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_B_A_T0_23_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	LCA_infect_prot_B_A_T0_23_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_B_A_T0_23_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_B_A_T0_23_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_B_A_T0_23_Eclip_FAIMS_Samwise_23Oct22_WBEH-22-06-13
LCA_infect_prot_D_A_S1_59_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S1_59_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S1_59_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S1_59_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S1_59_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_S2_60_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S2_60_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S2_60_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S2_60_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S2_60_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
