source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
B3_MetaP_TT_LA_1	B3_MetaP_TT_LA_1	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	B3_MetaP_TT_LA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	B3_MetaP_TT_LA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
B3_MetaP_TT_LA_2	B3_MetaP_TT_LA_2	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	B3_MetaP_TT_LA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	B3_MetaP_TT_LA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
C1_MetaP_TT_LA_1	C1_MetaP_TT_LA_1	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	C1_MetaP_TT_LA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C1_MetaP_TT_LA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
C1_MetaP_TT_LA_2	C1_MetaP_TT_LA_2	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	C1_MetaP_TT_LA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C1_MetaP_TT_LA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
C2_MetaP_TT_LA_1	C2_MetaP_TT_LA_1	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	C2_MetaP_TT_LA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C2_MetaP_TT_LA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
C2_MetaP_TT_LA_2	C2_MetaP_TT_LA_2	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	C2_MetaP_TT_LA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C2_MetaP_TT_LA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
C3_MetaP_TT_LA_1	C3_MetaP_TT_LA_1	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	C3_MetaP_TT_LA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C3_MetaP_TT_LA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
C3_MetaP_TT_LA_2	C3_MetaP_TT_LA_2	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	C3_MetaP_TT_LA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	C3_MetaP_TT_LA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
CoAssembly-new.msf	CoAssembly-new.msf	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	CoAssembly-new.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	CoAssembly-new.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
SW_MetaP_TT_LA_1	SW_MetaP_TT_LA_1	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SW_MetaP_TT_LA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SW_MetaP_TT_LA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
SW_MetaP_TT_LA_2	SW_MetaP_TT_LA_2	Seawater metagenome	wastewater	not applicable	not available	Metaproteomes_of_Seawater_Microbial_Communities_from_a_Wastewater_Exposure_Experiment	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	SW_MetaP_TT_LA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Thermo Fisher Scientific instrument model;AC=MS:1000483	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	SW_MetaP_TT_LA_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
