source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
7min_rep3	Homo sapiens	T cell	not applicable	not available	1	7min_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	7min_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/7min_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
2min_rep1	Homo sapiens	T cell	not applicable	not available	1	2min_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	2min_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/2min_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1.5min_rep3	Homo sapiens	T cell	not applicable	not available	1	1.5min_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1.5min_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1.5min_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
3min_rep1	Homo sapiens	T cell	not applicable	not available	1	3min_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	3min_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/3min_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
2min_rep4	Homo sapiens	T cell	not applicable	not available	1	2min_rep4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	2min_rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/2min_rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
5min_rep3	Homo sapiens	T cell	not applicable	not available	1	5min_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	5min_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/5min_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
7min_rep2	Homo sapiens	T cell	not applicable	not available	1	7min_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	7min_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/7min_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
2min_rep2	Homo sapiens	T cell	not applicable	not available	1	2min_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	2min_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/2min_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
10min_rep2	Homo sapiens	T cell	not applicable	not available	1	10min_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	10min_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/10min_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
5min_rep5	Homo sapiens	T cell	not applicable	not available	1	5min_rep5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	5min_rep5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/5min_rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
0min_rep3	Homo sapiens	T cell	not applicable	not available	1	0min_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	0min_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/0min_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
2min_rep5	Homo sapiens	T cell	not applicable	not available	1	2min_rep5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	2min_rep5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/2min_rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1min_rep1	Homo sapiens	T cell	not applicable	not available	1	1min_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1min_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1min_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
10min_rep1	Homo sapiens	T cell	not applicable	not available	1	10min_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	10min_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/10min_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1min_rep3	Homo sapiens	T cell	not applicable	not available	1	1min_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1min_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1min_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
0min_rep1	Homo sapiens	T cell	not applicable	not available	1	0min_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	0min_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/0min_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
0min_rep4	Homo sapiens	T cell	not applicable	not available	1	0min_rep4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	0min_rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/0min_rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
7min_rep4	Homo sapiens	T cell	not applicable	not available	1	7min_rep4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	7min_rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/7min_rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
3min_rep2	Homo sapiens	T cell	not applicable	not available	1	3min_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	3min_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/3min_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
10min_rep4	Homo sapiens	T cell	not applicable	not available	1	10min_rep4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	10min_rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/10min_rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
5min_rep4	Homo sapiens	T cell	not applicable	not available	1	5min_rep4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	5min_rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/5min_rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
3min_rep3	Homo sapiens	T cell	not applicable	not available	1	3min_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	3min_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/3min_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
5min_rep2	Homo sapiens	T cell	not applicable	not available	1	5min_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	5min_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/5min_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1.5min_rep1	Homo sapiens	T cell	not applicable	not available	1	1.5min_rep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1.5min_rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1.5min_rep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1min_rep4	Homo sapiens	T cell	not applicable	not available	1	1min_rep4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1min_rep4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1min_rep4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1min_rep5	Homo sapiens	T cell	not applicable	not available	1	1min_rep5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1min_rep5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1min_rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
2min_rep3	Homo sapiens	T cell	not applicable	not available	1	2min_rep3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	2min_rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/2min_rep3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1.5min_rep5	Homo sapiens	T cell	not applicable	not available	1	1.5min_rep5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1.5min_rep5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1.5min_rep5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
1min_rep2	Homo sapiens	T cell	not applicable	not available	1	1min_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	1min_rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001094/1min_rep2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
