source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[genetic modification]	characteristics[genotype]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
Mikkel_04	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	4	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	Mikkel_04_Shotgun_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_04	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	4	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	Mikkel_04_Shotgun_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_05	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	5	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Mikkel_05_Shotgun_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_05	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	5	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	Mikkel_05_Shotgun_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_05	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	5	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	Mikkel_05_Shotgun_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_07	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	7	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Mikkel_07_Shotgun_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_07	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	7	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	Mikkel_07_Shotgun_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_07	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	7	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	Mikkel_07_Shotgun_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_08	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	8	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Mikkel_08_Shotgun_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_08	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	8	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	2	Mikkel_08_Shotgun_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_08	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	8	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	3	Mikkel_08_Shotgun_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
Mikkel_09	Homo sapiens	prostate gland	epithelial cell	prostate carcinoma	LNCaP clone FGC	CVCL_1379	LNCaP clone FGC	left supraclavicular lymph node	tissue	50Y	male	not available	adult	Roswell Park Memorial Institute 1640 Medium	not applicable	wild type	wild type	9	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	0.5 Da	10 ppm	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	1	Mikkel_09_Shotgun_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	wild type
