source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample type]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dia method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[ms min mz]	comment[ms max mz]	comment[ms min im]	comment[ms max im]	comment[elution conditions]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[experiment]	factor value[mixture]	factor value[quantification method]
HL-60_Ecoli_spikein_sc_2x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=600 pg	1	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6096	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	7	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6096.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S2_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=60 pg	1	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6096	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	11	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6096.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S2 (300 pg human + 60 pg E. coli)	spike-in SILAC
HL-60_Ecoli_spikein_sc_2x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=600 pg	1	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6097	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	8	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6097.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S2_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=60 pg	1	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6097	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	12	Bluto_20240110_MGE_S2_SI_2x_SCamount300ng_B5_1_6097.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S2 (300 pg human + 60 pg E. coli)	spike-in SILAC
HL-60_Ecoli_spikein_sc_5x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=1500 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6120	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	5	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6120.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S2_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=60 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6120	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	13	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6120.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S2 (300 pg human + 60 pg E. coli)	spike-in SILAC
HL-60_Ecoli_spikein_sc_5x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=1500 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6121	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	6	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6121.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S2_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=60 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6121	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	14	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6121.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S2 (300 pg human + 60 pg E. coli)	spike-in SILAC
HL-60_Ecoli_spikein_sc_5x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=1500 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6122	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	7	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6122.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S2_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=60 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6122	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	15	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6122.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S2 (300 pg human + 60 pg E. coli)	spike-in SILAC
HL-60_Ecoli_spikein_sc_5x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=1500 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6123	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	8	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6123.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S2_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=60 pg	1	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6123	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	16	Bluto_20240110_MGE_S2_SI_5x_SCamount300ng_B8_1_6123.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S2 (300 pg human + 60 pg E. coli)	spike-in SILAC
HL-60_Ecoli_spikein_sc_20x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=6000 pg	1	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6142	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	9	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6142.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S3_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=300 pg	1	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6142	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	5	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6142.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S3 (300 pg human + 300 pg E. coli)	spike-in SILAC
HL-60_Ecoli_spikein_sc_20x	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	reference	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=6000 pg	1	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6143	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC heavy;AC=PRIDE:0000325	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	10	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6143.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	spike-in reference	spike-in SILAC
HL-60_Ecoli_S3_sc	Homo sapiens	blood	acute myeloblastic leukemia with maturation	promyelocyte	cell	HL-60 cell	CVCL_0002	HL-60	blood	adult	36Y	female	European ancestry	Roswell Park Memorial Institute 1640 Medium	not available	study sample	CT=protein mixture;SP=Escherichia coli;CN=Escherichia coli strain AT713;QY=300 pg	1	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6143	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=SILAC light;AC=PRIDE:0000326	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=time-of-flight;AC=MS:1000084	400	1000	25	400m/z	1000m/z	0.64	1.37	approximately 14 min active gradient, 250-400 nl/min	1	6	Bluto_20240110_MGE_S3_SI_20x_SCamount300ng_B10_1_6143.d.tar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	mixed-species single-cell-like	S3 (300 pg human + 300 pg E. coli)	spike-in SILAC
