source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
YJC_100327SNOCRC_B11b372_N01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B11b372_N01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B11b372_N01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B11b372_N01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4445_N02	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4445_N02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4445_N02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4445_N02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_B2_381_N03	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_B2_381_N03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_B2_381_N03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_B2_381_N03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_B2_381_N02	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_B2_381_N02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_B2_381_N02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_B2_381_N02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100530WFSNOCRC_2T_02	Homo sapiens	not available	not applicable	not available	1	YJC_100530WFSNOCRC_2T_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100530WFSNOCRC_2T_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100530WFSNOCRC_2T_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_C23c410_T03	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_C23c410_T03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_C23c410_T03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_C23c410_T03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_C23c393_T03	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_C23c393_T03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_C23c393_T03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_C23c393_T03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B11b372_T01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B11b372_T01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B11b372_T01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B11b372_T01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_B2_381_N01	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_B2_381_N01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_B2_381_N01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_B2_381_N01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100530WFSNOCRC_1T_01	Homo sapiens	not available	not applicable	not available	1	YJC_100530WFSNOCRC_1T_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100530WFSNOCRC_1T_01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100530WFSNOCRC_1T_01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4445_T02	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4445_T02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4445_T02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4445_T02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B22a373_T03	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B22a373_T03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B22a373_T03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B22a373_T03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B22a373_T01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B22a373_T01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B22a373_T01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B22a373_T01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_A1a376_T02	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_A1a376_T02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_A1a376_T02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_A1a376_T02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100530WFSNOCRC_2N_02	Homo sapiens	not available	not applicable	not available	1	YJC_100530WFSNOCRC_2N_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100530WFSNOCRC_2N_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100530WFSNOCRC_2N_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B11b372_N03	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B11b372_N03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B11b372_N03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B11b372_N03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4445_T01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4445_T01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4445_T01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4445_T01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B22a373_N03	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B22a373_N03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B22a373_N03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B22a373_N03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100530WFSNOCRC_2T_01	Homo sapiens	not available	not applicable	not available	1	YJC_100530WFSNOCRC_2T_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100530WFSNOCRC_2T_01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100530WFSNOCRC_2T_01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_C23c393_T01	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_C23c393_T01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_C23c393_T01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_C23c393_T01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_C23c410_N02	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_C23c410_N02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_C23c410_N02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_C23c410_N02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4424_T02	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4424_T02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4424_T02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4424_T02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4445_N01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4445_N01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4445_N01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4445_N01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_B2_378_T03	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_B2_378_T03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_B2_378_T03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_B2_378_T03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_C23c410_T01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_C23c410_T01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_C23c410_T01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_C23c410_T01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4424_N02	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4424_N02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4424_N02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4424_N02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4445_N03	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4445_N03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4445_N03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4445_N03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B22a373_N01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B22a373_N01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B22a373_N01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B22a373_N01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4424_T03	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4424_T03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4424_T03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4424_T03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100530WFSNOCRC_1T_03	Homo sapiens	not available	not applicable	not available	1	YJC_100530WFSNOCRC_1T_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100530WFSNOCRC_1T_03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100530WFSNOCRC_1T_03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B11b372_N02	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B11b372_N02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B11b372_N02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B11b372_N02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100530WFSNOCRC_2N_01	Homo sapiens	not available	not applicable	not available	1	YJC_100530WFSNOCRC_2N_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100530WFSNOCRC_2N_01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100530WFSNOCRC_2N_01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100530WFSNOCRC_1T_02	Homo sapiens	not available	not applicable	not available	1	YJC_100530WFSNOCRC_1T_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100530WFSNOCRC_1T_02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100530WFSNOCRC_1T_02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_A1a376_N02	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_A1a376_N02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_A1a376_N02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_A1a376_N02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327_SNOCRC_B2_378_T02	Homo sapiens	not available	not applicable	not available	1	YJC_100327_SNOCRC_B2_378_T02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327_SNOCRC_B2_378_T02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327_SNOCRC_B2_378_T02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_C23c410_N01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_C23c410_N01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_C23c410_N01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_C23c410_N01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_B22a373_N02	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_B22a373_N02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_B22a373_N02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_B22a373_N02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
YJC_100327SNOCRC_D4424_N01	Homo sapiens	not available	not applicable	not available	1	YJC_100327SNOCRC_D4424_N01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q-Tof Premier;AC=MS:1000632	not applicable	not available	1	1	YJC_100327SNOCRC_D4424_N01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000467/YJC_100327SNOCRC_D4424_N01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
