source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[genetic modification]	characteristics[genotype]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]	factor value[dose]	factor value[sampling time]	factor value[genotype]
Min6_DrugSet1_HighGlucose_10min_8BrcGMP_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20131128_EXQ3_FrSa_SA_Min6_35_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_35_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_8BrcGMP_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20131128_EXQ3_FrSa_SA_Min6_36	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_8BrcGMP_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	4	run_20131126_EXQ3_FrSa_SA_Min6_36_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_36_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-bromo-3',5'-cyclic GMP	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_ATP_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Adenosine Triphosphate	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20131126_EXQ3_FrSa_SA_Min6_11_01	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_11_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Adenosine Triphosphate	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_ATP_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Adenosine Triphosphate	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20131128_EXQ3_FrSa_SA_Min6_11	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Adenosine Triphosphate	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_ATP_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Adenosine Triphosphate	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20131128_EXQ3_FrSa_SA_Min6_12	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Adenosine Triphosphate	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_Carbachol_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Carbachol	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20131126_EXQ3_FrSa_SA_Min6_29	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Carbachol	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_Carbachol_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Carbachol	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20131126_EXQ3_FrSa_SA_Min6_29_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_29_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Carbachol	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_Carbachol_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Carbachol	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20131126_EXQ3_FrSa_SA_Min6_30	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Carbachol	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_Glibenclamide_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Glyburide	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20131126_EXQ3_FrSa_SA_Min6_17_01	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_17_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Glyburide	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_Glibenclamide_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Glyburide	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20131128_EXQ3_FrSa_SA_Min6_17	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Glyburide	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_Glibenclamide_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Glyburide	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20131128_EXQ3_FrSa_SA_Min6_18	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Glyburide	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20131126_EXQ3_FrSa_SA_Min6_05	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20131126_EXQ3_FrSa_SA_Min6_05_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_05_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_10min_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20131126_EXQ3_FrSa_SA_Min6_06	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	10 minute	not applicable
Min6_DrugSet1_HighGlucose_30min_8BrcGMP_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-bromo-3',5'-cyclic GMP	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	1	run_20131128_EXQ3_FrSa_SA_Min6_37	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-bromo-3',5'-cyclic GMP	16.7 mM	30 minute	not applicable
Min6_DrugSet1_HighGlucose_30min_8BrcGMP_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-bromo-3',5'-cyclic GMP	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	2	run_20131128_EXQ3_FrSa_SA_Min6_38	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131128_EXQ3_FrSa_SA_Min6_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-bromo-3',5'-cyclic GMP	16.7 mM	30 minute	not applicable
Min6_DrugSet1_HighGlucose_30min_8BrcGMP_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-bromo-3',5'-cyclic GMP	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	3	run_20131126_EXQ3_FrSa_SA_Min6_37_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_37_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-bromo-3',5'-cyclic GMP	16.7 mM	30 minute	not applicable
Min6_DrugSet1_HighGlucose_30min_ATP_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Adenosine Triphosphate	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	1	run_20131126_EXQ3_FrSa_SA_Min6_13_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1750m/z	not applicable	not available	not available	phosphoproteome-drug-set-1	1	1	20131126_EXQ3_FrSa_SA_Min6_13_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Adenosine Triphosphate	16.7 mM	30 minute	not applicable
