source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
CPTAC_SEER_W_TMT3_17_21July16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT3_17_21July16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT3_17_21July16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT3_17_21July16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT5_13_24Aug16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT5_13_24Aug16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT5_13_24Aug16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT5_13_24Aug16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT3_15_19Aug16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT3_15_19Aug16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT3_15_19Aug16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT3_15_19Aug16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT4_07_19Aug16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT4_07_19Aug16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT4_07_19Aug16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT4_07_19Aug16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT5_20_21July16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT5_20_21July16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT5_20_21July16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT5_20_21July16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT1_10_21July16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT1_10_21July16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT1_10_21July16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT1_10_21July16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT5_02_21July16_Pippin_16-05-01.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT5_02_21July16_Pippin_16-05-01.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT5_02_21July16_Pippin_16-05-01.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT5_02_21July16_Pippin_16-05-01.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT1_21_21July16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT1_21_21July16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT1_21_21July16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT1_21_21July16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT5_03_21July16_Pippin_16-05-01.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT5_03_21July16_Pippin_16-05-01.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT5_03_21July16_Pippin_16-05-01.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT5_03_21July16_Pippin_16-05-01.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT7_08_19Aug16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT7_08_19Aug16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT7_08_19Aug16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT7_08_19Aug16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT1_05_21July16_Pippin_16-05-01.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT1_05_21July16_Pippin_16-05-01.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT1_05_21July16_Pippin_16-05-01.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT1_05_21July16_Pippin_16-05-01.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
CPTAC_SEER_W_TMT1_20_21July16_Pippin_16-05-06.pride	homo sapiens	Ovary	not applicable	ovarian cancer	1	CPTAC_SEER_W_TMT1_20_21July16_Pippin_16-05-06.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	CPTAC_SEER_W_TMT1_20_21July16_Pippin_16-05-06.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD008832/generated/CPTAC_SEER_W_TMT1_20_21July16_Pippin_16-05-06.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Ovary
