source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
IgG_Ms_R2	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_A7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Ms_R3	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	3	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_B7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Ms_R4	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	4	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_C7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Ms_R5	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	5	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_D7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Ms_R6	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	6	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_E7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Rb_R2	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_F7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Rb_R3	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	3	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_G7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Rb_R4	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	4	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_H7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Rb_R5	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	5	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_A8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
IgG_Rb_R6	Homo sapiens	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	6	not available	IP-MS	proteomic profiling by mass spectrometry	Data-independent acquisition	AC=MS:1000484; NT=Orbitrap	AC=MS:1002038;NT=label free sample	Trypsin	1	1	230616_Lumos_BenParker_BP-6503_B8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
