source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
5896_Exp1_80IS_DIA_400-800_6_REP3_PRK1_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_6_REP3_PRK1_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_6_REP3_PRK1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_14_REP5_PRK1_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_14_REP5_PRK1_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_14_REP5_PRK1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_10_REP4_PRK1_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_10_REP4_PRK1_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_10_REP4_PRK1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_7_REP3_PRK2_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_7_REP3_PRK2_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_7_REP3_PRK2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_15_REP5_PRK2_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_15_REP5_PRK2_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_15_REP5_PRK2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_17_REP6_CTRL_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_17_REP6_CTRL_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_17_REP6_CTRL_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_20_REP6_PRK3_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_20_REP6_PRK3_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_20_REP6_PRK3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_16_REP5_PRK3_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_16_REP5_PRK3_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_16_REP5_PRK3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_19_REP6_PRK2_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_19_REP6_PRK2_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_19_REP6_PRK2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
5896_Exp1_80IS_DIA_400-800_9_REP4_CTRL_1	Homo sapiens	Not available	not available	not available	not available	1	5896_Exp1_80IS_DIA_400-800_9_REP4_CTRL_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	5896_Exp1_80IS_DIA_400-800_9_REP4_CTRL_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Not available
