source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[fractionation method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[proteomics data acquisition method]	factor value[instrument]
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 1	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_0-6_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 2	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_0-6_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 3	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_0-6_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 4	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	2	1	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_1-2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 5	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	2	2	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_1-2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 6	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	2	3	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_1-2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 7	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	3	1	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_2-4_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 8	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	3	2	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_2-4_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE7	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 9	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	3	3	20140527_QE7_UPLC9_RJC_DEV_ASMS_Exp9_2-4_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupA HeLa QE5	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 10	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140509_QE5_UPLC9_RJC_DEV_ASMS_Exp9_Digest1_0-6_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002634;NT=Q Exactive Plus
