source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S01	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S05	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_04	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	4	20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S04	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S08	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S02	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S12	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S05	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S10	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S11	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090615_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S08	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S12	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp2_Ack-IP_Offgel_S12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120614_QE3_LC1_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	2	20120614_QE3_LC1_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120614_QE3_LC1_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20120614_QE3_LC1_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S11	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090806_Velos2_CHU_SA_Yeast_Exp3_Ack-IP_Offgel_S11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S07	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S06	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120610_QE5_LC4_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	2	20120610_QE5_LC4_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120610_QE5_LC4_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20120610_QE5_LC4_PHE_SA_rpd3_ExperimentD_Acetylome_SCX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S11	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S07	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090624_Velos1_CHU_SA_Yeast_Exp1_AcK-IP-Offgel_S07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_01	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20120610_QE5_LC4_PHE_SA_rpd3_ExperimentE_Acetylome_SCX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S12	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	isoelectric focusing	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002287/20090818_Velos2_CHU_SA_Yeast-Exp4-IP-AcK-Offgel-S12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
