source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source name]
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	1	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR1_R1	proteomic profiling by mass spectrometry	18316_1.raw	1	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	1	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR1_R2	proteomic profiling by mass spectrometry	18316_2.raw	2	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	1	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR1_R3	proteomic profiling by mass spectrometry	18316_3.raw	3	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	2	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR2_R1	proteomic profiling by mass spectrometry	18317_1.raw	1	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	2	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR2_R2	proteomic profiling by mass spectrometry	18317_2.raw	2	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	2	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR2_R3	proteomic profiling by mass spectrometry	18317_3.raw	3	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	3	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR3_R1	proteomic profiling by mass spectrometry	18318_1.raw	1	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	3	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR3_R2	proteomic profiling by mass spectrometry	18318_2.raw	2	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_WT	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	3	THP-1	CVCL_0006	THP-1	not available	not available	untreated	THP-1_WT_BR3_R3	proteomic profiling by mass spectrometry	18318_3.raw	3	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_WT
THP-1_ERAP1-inhibitor	Homo sapiens	not applicable	not available	cell line	childhood acute monocytic leukemia	1Y	male	not applicable	not available	1	THP-1	CVCL_0006	THP-1	not available	not available	compound 3 (allosteric ERAP1 inhibitor, 10 uM, 6 days)	THP-1_ERAP1-inhibitor_BR1_R1	proteomic profiling by mass spectrometry	18320_1.raw	1	NT=Q Exactive HF-X;AC=MS:1002877	Data-independent acquisition	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	26 NCE	not available	not available	375m/z-1400m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	375	1400	8	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.0.0	sdrf-pipelines v0.1.5	THP-1_ERAP1-inhibitor
