source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
NFFRep4-Phos-f31	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	NFFRep4-Phos-f31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	31	1	NFFRep4-Phos-f31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/NFFRep4-Phos-f31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
ATRep2-Phos-f36-r1	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	ATRep2-Phos-f36-r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	ATRep2-Phos-f36-r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/ATRep2-Phos-f36-r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NFFRep3-NP-23m	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	NFFRep3-NP-23m	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	NFFRep3-NP-23m.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/NFFRep3-NP-23m.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NFFRep4-Phos-f27	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	NFFRep4-Phos-f27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	27	1	NFFRep4-Phos-f27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/NFFRep4-Phos-f27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NFFRep4-Phos-f32	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	NFFRep4-Phos-f32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	32	1	NFFRep4-Phos-f32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/NFFRep4-Phos-f32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NFFRep2-Phos-f29	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	NFFRep2-Phos-f29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	29	1	NFFRep2-Phos-f29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/NFFRep2-Phos-f29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
ATRep2-Phos-f33-r2	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	ATRep2-Phos-f33-r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	ATRep2-Phos-f33-r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/ATRep2-Phos-f33-r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NFFRep4-Phos-f30	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	NFFRep4-Phos-f30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	30	1	NFFRep4-Phos-f30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/NFFRep4-Phos-f30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
ATRep1-Phos-f32	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	1	ATRep1-Phos-f32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	32	1	ATRep1-Phos-f32.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/ATRep1-Phos-f32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
NFFRep1-NPf17-20	homo sapiens	Cell culture	not applicable	Ataxia telangiectasia	20	NFFRep1-NPf17-20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	NFFRep1-NPf17-20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002850/NFFRep1-NPf17-20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
