source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[material type]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[label]
K562_LtoH_1_light	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA10W_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	5	20240802_MCA_24I005_DDA10W_1b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC light;AC=PRIDE:0000326
K562_LtoH_1_heavy	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA10W_1b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	5	20240802_MCA_24I005_DDA10W_1b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC heavy;AC=PRIDE:0000325
K562_LtoH_1_light	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA10W_1c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	6	20240802_MCA_24I005_DDA10W_1c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC light;AC=PRIDE:0000326
K562_LtoH_1_heavy	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA10W_1c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	6	20240802_MCA_24I005_DDA10W_1c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC heavy;AC=PRIDE:0000325
K562_LtoH_5_light	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	1	20240802_MCA_24I005_DDA_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC light;AC=PRIDE:0000326
K562_LtoH_5_heavy	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	1	20240802_MCA_24I005_DDA_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC heavy;AC=PRIDE:0000325
K562_LtoH_5_light	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA10W_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	2	20240802_MCA_24I005_DDA10W_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC light;AC=PRIDE:0000326
K562_LtoH_5_heavy	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA10W_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	2	20240802_MCA_24I005_DDA10W_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC heavy;AC=PRIDE:0000325
K562_LtoH_25_light	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA_25a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	1	20240802_MCA_24I005_DDA_25a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC light;AC=PRIDE:0000326
K562_LtoH_25_heavy	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA_25a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	1	20240802_MCA_24I005_DDA_25a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC heavy;AC=PRIDE:0000325
K562_LtoH_25_light	Homo sapiens	pleural effusion	chronic myeloid leukemia	K562	CVCL_0004	K-562	not available	cell line	Roswell Park Memorial Institute 1640 Medium	not available	not available	adult	53Y	female	European ancestry	not available	not pooled	1	20240802_MCA_24I005_DDA_25b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin/P;AC=MS:1001313	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE;32 NCE;36 NCE	NT=orbitrap;AC=MS:1000484	380m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not available	1	2	20240802_MCA_24I005_DDA_25b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=SILAC light;AC=PRIDE:0000326
