source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[phenotype]
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	1	1	MS160702-A1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	1	1	MS160702-A1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	1	1	MS160702-A1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	1	1	MS160702-A1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	2	1	MS160702-A2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	2	1	MS160702-A2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
N1a_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1a tumor	pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	2	1	MS160702-A2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1a tumor
pooled_N	Homo sapiens	thyroid gland	not available	normal	tissue	not available	not available	not available	adult	pooled adjacent normal	pooled	1	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	2	1	MS160702-A2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	normal	pooled adjacent normal
N1b_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N1b tumor	pooled	1	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	3	1	MS160702-A3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N1b tumor
N0_T	Homo sapiens	thyroid gland	not available	thyroid gland papillary carcinoma	tissue	not available	not available	not available	adult	N0 tumor	pooled	1	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10 ppm	20 mmu	NT=orbitrap;AC=MS:1000484	3	1	MS160702-A3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	thyroid gland papillary carcinoma	N0 tumor
