source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[assay]
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_01	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_04	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	4	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_DDA_wSIM_2Th_3p0ms_50ms_vref2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_01	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_04	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	4	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref_OFF-02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref_OFF-02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref_OFF-02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom OFF; wSIM
20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref_OFF-04	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref_OFF-04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250219_AST0_NEO4_JVO_MV50_HeK_DR_100SPD_10ng_Hek_wDDA_wSIM_4Th_6p0ms_50ms_vref_OFF-04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	100 SPD; Astral zoom OFF; wSIM
