source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PRIDE_Exp_Complete_Ac_26025.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26025.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26025.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26025.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_26426.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26426.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26426.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26426.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_26453.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26453.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26453.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26453.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_25745.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_25745.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_25745.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_25745.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_26031.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26031.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26031.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26031.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_25061.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_25061.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_25061.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_25061.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_25056.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_25056.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_25056.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_25056.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_26147.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26147.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26147.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26147.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_26228.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26228.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26228.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26228.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_25187.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_25187.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_25187.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_25187.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_26306.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26306.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26306.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26306.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_25347.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_25347.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_25347.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_25347.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_26424.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_26424.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_26424.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_26424.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
PRIDE_Exp_Complete_Ac_25894.pride	zea mays	serum	not applicable	not available	enrichment of phosphorylated protein	4 weeks	1	PRIDE_Exp_Complete_Ac_25894.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq;AC=MS:1000447	NT=instrument model;AC=MS:1000031	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not available	10 ppm	0.2 Da	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	PRIDE_Exp_Complete_Ac_25894.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/07/PRD000721/generated/PRIDE_Exp_Complete_Ac_25894.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	serum
