source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
191216_LFQ_n1-6_HoCA_Mis-a-2	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-a-2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-a-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_Mis-a-3	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-a-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-a-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_Mis-b-1	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-b-1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-b-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_Mis-b-2	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-b-2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-b-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_Mis-b-3	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-b-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-b-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_Mis-d-1	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-d-1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-d-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_Mis-d-2	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-d-2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-d-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_Mis-d-3	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_Mis-d-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_Mis-d-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_NI-a-1	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_NI-a-1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_NI-a-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_NI-a-2	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_NI-a-2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_NI-a-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_NI-a-3	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_NI-a-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_NI-a-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_NI-b-1	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_NI-b-1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_NI-b-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_NI-b-2	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_NI-b-2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_NI-b-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
191216_LFQ_n1-6_HoCA_NI-b-3	Danio rerio	not available	amyotrophic lateral sclerosis	1	191216_LFQ_n1-6_HoCA_NI-b-3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	191216_LFQ_n1-6_HoCA_NI-b-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	amyotrophic lateral sclerosis
