source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[cellular component]	factor value[fractionation method]
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_12_BarH_IM2_26to27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	26	1	20011221_12_BarH_IM2_26to27.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_13_BarH_IM2_28to29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	28	1	20011221_13_BarH_IM2_28to29.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_14_BarH_IM2_30to31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	30	1	20011221_14_BarH_IM2_30to31.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_15_BarH_IM2_32to33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	32	1	20011221_15_BarH_IM2_32to33.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_16_BarH_IM2_34to35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	34	1	20011221_16_BarH_IM2_34to35.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_18_Excl_BarH_IM2_6to7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	6	2	20011221_18_Excl_BarH_IM2_6to7.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_19_Excl_BarH_IM2_8to9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	8	2	20011221_19_Excl_BarH_IM2_8to9.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_20_Excl_BarH_IM2_10to11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	10	2	20011221_20_Excl_BarH_IM2_10to11.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_21_Excl_BarH_IM2_12to13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	12	2	20011221_21_Excl_BarH_IM2_12to13.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
Bh_IM2_inner_membrane	Bartonella henselae	not applicable	not applicable	normal	not available	not available	not available	Houston-1	cell	2	20011221_22_Excl_BarH_IM2_14to15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Size-exclusion chromatography (SEC)	5 ppm	0.8 Da	14	2	20011221_22_Excl_BarH_IM2_14to15.RAW	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane	gel filtration
