source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[genotype]	factor value[treatment]
pool_sample_1_sample_2_sample_3	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-113	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_1_sample_2_sample_3	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-114	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_4_sample_5_sample_6	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-115	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_4_sample_5_sample_6	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-116	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_7_sample_8_sample_9	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-117	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_7_sample_8_sample_9	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-118	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_10_sample_11_sample_12	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-119	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_10_sample_11_sample_12	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX1__031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-121	1	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_1_sample_2_sample_3	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX2_031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX2_031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-113	2	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
pool_sample_1_sample_2_sample_3	mus musculus	prefrontal cortex	not applicable	1	not available	tissue	not available	adult	CD-1 IGS Mouse	male	Thakur_070314_GSS_PFC8PLEX_SCX2_031114_15ul_90min_rep2.raw	proteomic profiling by mass spectrometry	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/05/PXD004545/Thakur_070314_GSS_PFC8PLEX_SCX2_031114_15ul_90min_rep2.raw	v3.0.0	ms-proteomics v1.1.0	vertebrates v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	iTRAQ8plex-114	2	20 ppm	0.2 Da	NT=Methylthio;AC=UNIMOD:39;MT=fixed;TA=C;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=K;PP=Anywhere	NT=iTRAQ8plex;AC=UNIMOD:730;MT=fixed;TA=N-term;PP=Any N-term	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N;PP=Anywhere	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=Q;PP=Anywhere	not available	not available
