source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[amount of starting material]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[amount of starting material]	factor value[DIA window scheme]	factor value[MS2 scan setting]
2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:10 dilution	1	2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_006_03_Dil1_10_DIA_40x10_RAPID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:10 dilution	40x10	ion trap RAPID
2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1 ug	1	2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_006_04_1ug_DIA_40x10_RAPID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1 ug	40x10	ion trap RAPID
2020MK002_EVBO_007_01_Dil1_1000_DIA_40x10_NORMAL	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:1000 dilution	1	2020MK002_EVBO_007_01_Dil1_1000_DIA_40x10_NORMAL	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_007_01_Dil1_1000_DIA_40x10_NORMAL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_007_01_Dil1_1000_DIA_40x10_NORMAL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:1000 dilution	40x10	ion trap Normal
2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:100 dilution	1	2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_007_02_Dil1_100_DIA_40x10_NORMAL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:100 dilution	40x10	ion trap Normal
2020MK002_EVBO_007_03_Dil1_10_DIA_40x10_NORMAL	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:10 dilution	1	2020MK002_EVBO_007_03_Dil1_10_DIA_40x10_NORMAL	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_007_03_Dil1_10_DIA_40x10_NORMAL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_007_03_Dil1_10_DIA_40x10_NORMAL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:10 dilution	40x10	ion trap Normal
2020MK002_EVBO_007_04_1ug_DIA_40x10_NORMAL	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1 ug	1	2020MK002_EVBO_007_04_1ug_DIA_40x10_NORMAL	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_007_04_1ug_DIA_40x10_NORMAL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_007_04_1ug_DIA_40x10_NORMAL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1 ug	40x10	ion trap Normal
2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:1000 dilution	1	2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_008_01_Dil1_1000_DIA_40x10_15K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:1000 dilution	40x10	Orbitrap 15K
2020MK002_EVBO_008_02_Dil1_100_DIA_40x10_15K	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:100 dilution	1	2020MK002_EVBO_008_02_Dil1_100_DIA_40x10_15K	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_008_02_Dil1_100_DIA_40x10_15K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_008_02_Dil1_100_DIA_40x10_15K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:100 dilution	40x10	Orbitrap 15K
2020MK002_EVBO_008_03_Dil1_10_DIA_40x10_15K	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:10 dilution	1	2020MK002_EVBO_008_03_Dil1_10_DIA_40x10_15K	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_008_03_Dil1_10_DIA_40x10_15K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_008_03_Dil1_10_DIA_40x10_15K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:10 dilution	40x10	Orbitrap 15K
2020MK002_EVBO_008_04_1ug_DIA_40x10_15K	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1 ug	1	2020MK002_EVBO_008_04_1ug_DIA_40x10_15K	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_008_04_1ug_DIA_40x10_15K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_008_04_1ug_DIA_40x10_15K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1 ug	40x10	Orbitrap 15K
2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1:1000 dilution	1	2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	28% NCE	not available	not available	1	1	2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/09/PXD025766/2020MK002_EVBO_009_01_Dil1_1000_DIA_40x10_7-5K.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1:1000 dilution	40x10	Orbitrap 7.5K
