source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
131211-28624-13-ATH-F02	131211-28624-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28624-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28624-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28624-13-ATH-F03	131211-28624-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28624-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28624-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28626-13-ATH-F01	131211-28626-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28626-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28626-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28626-13-ATH-F02	131211-28626-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28626-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28626-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28626-13-ATH-F03	131211-28626-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28626-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28626-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28627-13-ATH-F01	131211-28627-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28627-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28627-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28627-13-ATH-F02	131211-28627-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28627-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28627-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28627-13-ATH-F03	131211-28627-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28627-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28627-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28628-13-ATH-F01	131211-28628-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28628-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28628-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28628-13-ATH-F02	131211-28628-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28628-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28628-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28628-13-ATH-F03	131211-28628-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28628-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28628-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28630-13-ATH-F01	131211-28630-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28630-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28630-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28630-13-ATH-F02	131211-28630-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28630-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28630-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28630-13-ATH-F03	131211-28630-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28630-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28630-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28631-13-ATH-F01	131211-28631-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28631-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28631-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28631-13-ATH-F02	131211-28631-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28631-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28631-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28631-13-ATH-F03	131211-28631-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28631-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28631-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28635-13-ATH-F01	131211-28635-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28635-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28635-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28635-13-ATH-F02	131211-28635-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28635-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28635-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28635-13-ATH-F03	131211-28635-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28635-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28635-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28636-13-ATH-F01	131211-28636-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28636-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28636-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28636-13-ATH-F02	131211-28636-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28636-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28636-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28636-13-ATH-F03	131211-28636-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28636-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28636-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28637-13-ATH-F01	131211-28637-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28637-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28637-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28637-13-ATH-F02	131211-28637-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28637-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28637-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28637-13-ATH-F03	131211-28637-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28637-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28637-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28639-13-ATH-F01	131211-28639-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28639-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28639-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28639-13-ATH-F02	131211-28639-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28639-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28639-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28639-13-ATH-F03	131211-28639-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28639-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28639-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28640-13-ATH-F01	131211-28640-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28640-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28640-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28640-13-ATH-F02	131211-28640-13-ATH-F02	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28640-13-ATH-F02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28640-13-ATH-F02.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28640-13-ATH-F03	131211-28640-13-ATH-F03	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28640-13-ATH-F03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28640-13-ATH-F03.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
131211-28641-13-ATH-F01	131211-28641-13-ATH-F01	human gut metagenome	feces	not applicable	not available	MuSt_multiomics	feces	feces	not available	not available	not available	not available	gut microbiome	Homo sapiens	feces	not available	1	131211-28641-13-ATH-F01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	131211-28641-13-ATH-F01.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
