source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
130319_02_SCR_X6_TiO2_45_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130319_02_SCR_X6_TiO2_45_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130319_02_SCR_X6_TiO2_45_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130319_02_SCR_X6_TiO2_45_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130317_28_SCR_Y5_TiO2_45_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130317_28_SCR_Y5_TiO2_45_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130317_28_SCR_Y5_TiO2_45_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130317_28_SCR_Y5_TiO2_45_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130324_02_SCR_X6_01_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130324_02_SCR_X6_01_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130324_02_SCR_X6_01_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130324_02_SCR_X6_01_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130322_30_SCR_Z5_01_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130322_30_SCR_Z5_01_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130322_30_SCR_Z5_01_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130322_30_SCR_Z5_01_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130319_18_CIP2A2_Z_TiO2_45_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130319_18_CIP2A2_Z_TiO2_45_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130319_18_CIP2A2_Z_TiO2_45_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130319_18_CIP2A2_Z_TiO2_45_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130324_24_RAS_Z_01_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130324_24_RAS_Z_01_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130324_24_RAS_Z_01_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130324_24_RAS_Z_01_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130324_26_OA_X_01_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130324_26_OA_X_01_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130324_26_OA_X_01_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130324_26_OA_X_01_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130319_22_RAS_Y_TiO2_45_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130319_22_RAS_Y_TiO2_45_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130319_22_RAS_Y_TiO2_45_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130319_22_RAS_Y_TiO2_45_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130322_28_SCR_Y5_01_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130322_28_SCR_Y5_01_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130322_28_SCR_Y5_01_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130322_28_SCR_Y5_01_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130319_28_OA_Y_TiO2_45_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130319_28_OA_Y_TiO2_45_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130319_28_OA_Y_TiO2_45_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130319_28_OA_Y_TiO2_45_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130319_16_CIP2A2_Y_TiO2_45_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130319_16_CIP2A2_Y_TiO2_45_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130319_16_CIP2A2_Y_TiO2_45_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130319_16_CIP2A2_Y_TiO2_45_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130324_20_RAS_X_01_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130324_20_RAS_X_01_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130324_20_RAS_X_01_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130324_20_RAS_X_01_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
130322_26_SCR_X5_01_10MS2_110min	homo sapiens	Hela cell	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	130322_26_SCR_X5_01_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130322_26_SCR_X5_01_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD001374/130322_26_SCR_X5_01_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Hela cell
