source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[passage number]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[source name]
UWB1.289_ctrl	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	untreated	3	UWB1.289_ctrl_rep3_frac1	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_Ctrl_75mM_3_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_ctrl
UWB1.289_ctrl	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	untreated	4	UWB1.289_ctrl_rep4_frac1	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_Ctrl_75mM_4_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_ctrl
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	1	UWB1.289_IFNg_rep1_frac2	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_200mM_1_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	2	UWB1.289_IFNg_rep2_frac2	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_200mM_2_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	3	UWB1.289_IFNg_rep3_frac2	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_200mM_3_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	4	UWB1.289_IFNg_rep4_frac2	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_200mM_4_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	2	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	1	UWB1.289_IFNg_rep1_frac3	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_5NH3_1_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	2	UWB1.289_IFNg_rep2_frac3	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_5NH3_2_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	3	UWB1.289_IFNg_rep3_frac3	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_5NH3_3_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	4	UWB1.289_IFNg_rep4_frac3	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_5NH3_4_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
UWB1.289_IFNg	Homo sapiens	not applicable	UWB1.289	CVCL_B079	UWB1.289	not available	cell line	ovarian carcinoma	56Y	female	not applicable	not available	not available	Interferon Gamma	1	UWB1.289_IFNg_rep1_frac1	proteomic profiling by mass spectrometry	20170811_QEh1_LC1_ChC_FaMa_SA_prot_SCX_UWB_IFNg_75mM_1_R1.raw	1	NT=Q Exactive HF;AC=MS:1002523	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	label free sample	NT=HCD;AC=MS:1000422	27 NCE	6 ppm	20 ppm	300m/z-800m/z	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	1	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	sdrf-pipelines v0.1.5	UWB1.289_IFNg
