source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
CP_Exp2_TR1TR2_MGFPeaklist	CP_Exp2_TR1TR2_MGFPeaklist	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	CP_Exp2_TR1TR2_MGFPeaklist	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	CP_Exp2_TR1TR2_MGFPeaklist.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
CP_EXP2_TR2	CP_EXP2_TR2	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	CP_EXP2_TR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	CP_EXP2_TR2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_EXP1_TR1	SUP_EXP1_TR1	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_EXP1_TR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_EXP1_TR1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_EXP1_TR1TR2.xml	SUP_EXP1_TR1TR2.xml	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_EXP1_TR1TR2.xml	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_EXP1_TR1TR2.xml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_Exp1_TR1TR2_MGFPeaklist	SUP_Exp1_TR1TR2_MGFPeaklist	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_Exp1_TR1TR2_MGFPeaklist	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_Exp1_TR1TR2_MGFPeaklist.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_EXP1_TR2	SUP_EXP1_TR2	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_EXP1_TR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_EXP1_TR2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_EXP2_TR1	SUP_EXP2_TR1	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_EXP2_TR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_EXP2_TR1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_Exp2_TR1TR2.xml	SUP_Exp2_TR1TR2.xml	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_Exp2_TR1TR2.xml	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_Exp2_TR1TR2.xml	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_Exp2_TR1TR2_MGFPeaklist	SUP_Exp2_TR1TR2_MGFPeaklist	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_Exp2_TR1TR2_MGFPeaklist	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_Exp2_TR1TR2_MGFPeaklist.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
SUP_EXP2_TR2	SUP_EXP2_TR2	Halorubrum lacusprofundi atcc 49239	Cell culture	not applicable	not available	Quantitative_proteomics_of_biofilm_formation_of_the_Antarctic_archaeon_Halorubrum_lacusprofundi	freshwater	freshwater	not available	not available	not available	not available	freshwater microbiome	1	SUP_EXP2_TR2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=TripleTOF 5600+;AC=MS:1002584	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	not applicable	not available	1	1	SUP_EXP2_TR2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
