source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_09	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	9	20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140529_KBNU_LSK_pho-MLM_HCD_000_01	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	1	20140529_KBNU_LSK_pho-MLM_HCD_000_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140529_KBNU_LSK_pho-MLM_HCD_000_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140529_KBNU_LSK_pho-MLM_HCD_000_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_07	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	7	20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_10	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	10	20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140529_KBNU_LSK_pho-MLM_HCD_250_05	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	5	20140529_KBNU_LSK_pho-MLM_HCD_250_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140529_KBNU_LSK_pho-MLM_HCD_250_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140529_KBNU_LSK_pho-MLM_HCD_250_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140529_KBNU_LSK_pho-MLM_HCD_050_03	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	3	20140529_KBNU_LSK_pho-MLM_HCD_050_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140529_KBNU_LSK_pho-MLM_HCD_050_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140529_KBNU_LSK_pho-MLM_HCD_050_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140528_KBNU_LSK_pho-MLM_CID-ETD_025_02	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	2	20140528_KBNU_LSK_pho-MLM_CID-ETD_025_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140528_KBNU_LSK_pho-MLM_CID-ETD_025_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140528_KBNU_LSK_pho-MLM_CID-ETD_025_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_07	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	7	20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140528_KBNU_LSK_pho-MLM_CID-ETD_500ACN30_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_10	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	10	20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140529_KBNU_LSK_pho-MLM_HCD_500ACN30_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
20140528_KBNU_LSK_pho-MLM_CID-ETD_050_03	mus musculus	Liver	not applicable	not available	enrichment of phosphorylated protein	3	20140528_KBNU_LSK_pho-MLM_CID-ETD_050_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.02 Da	2% NCE	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140528_KBNU_LSK_pho-MLM_CID-ETD_050_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002221/20140528_KBNU_LSK_pho-MLM_CID-ETD_050_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Liver
