source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
rat_ileum_rep2	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=ileum;AC=UBERON:0002116	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	2	rat_ileum_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Ileum_Rat2_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ileum;AC=UBERON:0002116
rat_ileum_rep3	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=ileum;AC=UBERON:0002116	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	3	rat_ileum_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Ileum_Rat3_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=ileum;AC=UBERON:0002116
rat_jejunum_rep1	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=jejunum;AC=UBERON:0002115	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	1	rat_jejunum_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Jejunum_Rat1_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=jejunum;AC=UBERON:0002115
rat_jejunum_rep2	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=jejunum;AC=UBERON:0002115	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	2	rat_jejunum_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Jejunum_Rat2_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=jejunum;AC=UBERON:0002115
rat_jejunum_rep3	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=jejunum;AC=UBERON:0002115	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	3	rat_jejunum_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Jejunum_Rat3_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=jejunum;AC=UBERON:0002115
rat_kidney_rep1	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=kidney;AC=UBERON:0002113	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	1	rat_kidney_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Kidney_Rat1_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
rat_kidney_rep2	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=kidney;AC=UBERON:0002113	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	2	rat_kidney_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Kidney_Rat2_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
rat_kidney_rep3	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=kidney;AC=UBERON:0002113	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	3	rat_kidney_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Kidney_Rat3_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
rat_liver_rep1	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	1	rat_liver_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Liver_Rat1_21min_15k2s_01_20191004191813.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=liver;AC=UBERON:0002107
rat_liver_rep2	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	2	rat_liver_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Liver_Rat2_21min_15k2s_01_20191004194217.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=liver;AC=UBERON:0002107
rat_liver_rep3	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	3	rat_liver_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Liver_Rat3_21min_15k2s_01_20191004200623.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=liver;AC=UBERON:0002107
rat_lung_rep1	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=lung;AC=UBERON:0002048	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	1	rat_lung_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Lung_Rat1_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=lung;AC=UBERON:0002048
rat_lung_rep2	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=lung;AC=UBERON:0002048	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	2	rat_lung_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Lung_Rat2_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=lung;AC=UBERON:0002048
rat_lung_rep3	NT=Rattus norvegicus;AC=NCBITaxon:10116	NT=lung;AC=UBERON:0002048	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	Sprague-Dawley	tissue	3	rat_lung_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not applicable	350	1400	13.7	not available	not available	not available	1	1	20191002_EXP1_Evo1_AMV_DIAprot_CV45_Lung_Rat3_21min_15k2s_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=lung;AC=UBERON:0002048
