source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD008736-Sample-120	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN4_Frac_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN4_Frac_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-121	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-122	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-123	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-124	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-125	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-126	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-127	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-128	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-129	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-130	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-131	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-132	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN5_Frac_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-133	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-134	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-135	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-136	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-137	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-138	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-139	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-140	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-141	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-142	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-143	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD008736-Sample-144	Mus musculus	heart	not available	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20160718_QE7_nLC3_PCP_Mouse_SinusNode_Technical_rep_2_SN6_Frac_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
