source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[growth condition]	characteristics[time point]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[time point]
malt_dark_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	malt extract dark	day 3	Malt_dark_Day3_1_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Malt_dark_Day3_1_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
malt_dark_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	malt extract dark	day 3	Malt_dark_Day3_1_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Malt_dark_Day3_1_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
malt_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	malt extract dark	day 3	Malt_dark_Day3_2_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Malt_dark_Day3_2_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
malt_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	malt extract dark	day 3	Malt_dark_Day3_2_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Malt_dark_Day3_2_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
malt_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	malt extract dark	day 3	Malt_dark_Day3_2_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Malt_dark_Day3_2_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
malt_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	malt extract dark	day 3	Malt_dark_Day3_2_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Malt_dark_Day3_2_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 12	Yeast_dark_Day12_1_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day12_1_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 12	Yeast_dark_Day12_1_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day12_1_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 12	Yeast_dark_Day12_1_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_dark_Day12_1_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 12	Yeast_dark_Day12_1_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_dark_Day12_1_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 12	Yeast_dark_Day12_2_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day12_2_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 12	Yeast_dark_Day12_2_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day12_2_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 12	Yeast_dark_Day12_2_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_dark_Day12_2_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 12	Yeast_dark_Day12_2_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_dark_Day12_2_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_dark_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 3	Yeast_dark_Day3_1_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day3_1_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 3	Yeast_dark_Day3_1_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day3_1_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 3	Yeast_dark_Day3_1_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_dark_Day3_1_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract dark	day 3	Yeast_dark_Day3_1_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_dark_Day3_1_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 3	Yeast_dark_Day3_2_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day3_2_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 3	Yeast_dark_Day3_2_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_dark_Day3_2_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 3	Yeast_dark_Day3_2_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_dark_Day3_2_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_dark_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract dark	day 3	Yeast_dark_Day3_2_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_dark_Day3_2_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 12	Yeast_light_Day12_1_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day12_1_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 12	Yeast_light_Day12_1_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day12_1_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 12	Yeast_light_Day12_1_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_light_Day12_1_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day12_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 12	Yeast_light_Day12_1_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_light_Day12_1_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 12	Yeast_light_Day12_2_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day12_2_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 12	Yeast_light_Day12_2_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day12_2_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 12	Yeast_light_Day12_2_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_light_Day12_2_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day12_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 12	Yeast_light_Day12_2_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_light_Day12_2_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 12
yeast_light_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 3	Yeast_light_Day3_1_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day3_1_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 3	Yeast_light_Day3_1_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day3_1_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 3	Yeast_light_Day3_1_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_light_Day3_1_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day3_rep1	Penicillium verrucosum	Mycelium	not available	1	yeast extract light	day 3	Yeast_light_Day3_1_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_light_Day3_1_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 3	Yeast_light_Day3_2_ID	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day3_2_ID.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 3	Yeast_light_Day3_2_swatha	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	1	1	Yeast_light_Day3_2_swatha.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 3	Yeast_light_Day3_2_swathb	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	2	1	Yeast_light_Day3_2_swathb.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
yeast_light_Day3_rep2	Penicillium verrucosum	Mycelium	not available	2	yeast extract light	day 3	Yeast_light_Day3_2_swathc	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	3	1	Yeast_light_Day3_2_swathc.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	day 3
