source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
RM192_1_8	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	8	RM192_1_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	RM192_1_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/RM192_1_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
RM192_1_7	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	7	RM192_1_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	RM192_1_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/RM192_1_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_2_7	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	7	20130926_VelosPro_RacMac_RM263_2_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_2_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
RM192_1_2	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	2	RM192_1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	RM192_1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/RM192_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_1_6	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	6	20130926_VelosPro_RacMac_RM263_1_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_1_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_1_1	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	1	20130926_VelosPro_RacMac_RM263_1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_2_2	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	2	20130926_VelosPro_RacMac_RM263_2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_2_10	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	10	20130926_VelosPro_RacMac_RM263_2_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_2_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_1_5	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	5	20130926_VelosPro_RacMac_RM263_1_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_1_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_1_3	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	3	20130926_VelosPro_RacMac_RM263_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_1_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_2_8	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	8	20130926_VelosPro_RacMac_RM263_2_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_2_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_2_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
RM192_1_1	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	1	RM192_1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	RM192_1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/RM192_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
RM192_1_4_6	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	6	RM192_1_4_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	RM192_1_4_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/RM192_1_4_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20130926_VelosPro_RacMac_RM263_1_9	homo sapiens	Epithelial cell	not applicable	Cervix carcinoma	enrichment of phosphorylated protein	9	20130926_VelosPro_RacMac_RM263_1_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.6 Da	strong cation-exchange chromatography (scx)	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	20130926_VelosPro_RacMac_RM263_1_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001559/20130926_VelosPro_RacMac_RM263_1_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
