source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
160919ito_D1_T3-1-re	160919ito_D1_T3-1-re	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D1_T3-1-re	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D1_T3-1-re.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D1_T3-2	160919ito_D1_T3-2	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D1_T3-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D1_T3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D1_T3-3	160919ito_D1_T3-3	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D1_T3-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D1_T3-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D1_T3-4	160919ito_D1_T3-4	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D1_T3-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D1_T3-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D1_T3-5	160919ito_D1_T3-5	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D1_T3-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D1_T3-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T1-1	160919ito_D2_T1-1	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T1-2	160919ito_D2_T1-2	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T1-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T1-3	160919ito_D2_T1-3	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T1-4	160919ito_D2_T1-4	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T1-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T1-5	160919ito_D2_T1-5	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T1-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T2-1	160919ito_D2_T2-1	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T2-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T2-2	160919ito_D2_T2-2	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T2-3	160919ito_D2_T2-3	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T2-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T2-4	160919ito_D2_T2-4	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T2-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T2-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T2-5	160919ito_D2_T2-5	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T2-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T3-1	160919ito_D2_T3-1	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T3-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T3-2	160919ito_D2_T3-2	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T3-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T3-3	160919ito_D2_T3-3	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T3-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T3-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T3-4	160919ito_D2_T3-4	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T3-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T3-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D2_T3-5	160919ito_D2_T3-5	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D2_T3-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D2_T3-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T1-1	160919ito_D3_T1-1	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T1-2	160919ito_D3_T1-2	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T1-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T1-3	160919ito_D3_T1-3	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T1-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T1-4	160919ito_D3_T1-4	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T1-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T1-5	160919ito_D3_T1-5	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T1-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T2-1	160919ito_D3_T2-1	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T2-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T2-2	160919ito_D3_T2-2	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T2-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T2-3	160919ito_D3_T2-3	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T2-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T2-4	160919ito_D3_T2-4	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T2-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T2-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T2-5	160919ito_D3_T2-5	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T2-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T3-1	160919ito_D3_T3-1	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T3-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T3-2	160919ito_D3_T3-2	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T3-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T3-3	160919ito_D3_T3-3	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T3-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T3-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T3-4	160919ito_D3_T3-4	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T3-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T3-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
160919ito_D3_T3-5	160919ito_D3_T3-5	Mus musculus	feces	not applicable	not available	mouse_feces_diurnal_variation	feces	feces	not available	not available	not available	not available	gut microbiome	Mus musculus	feces	not available	1	160919ito_D3_T3-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	160919ito_D3_T3-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	feces
