source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[time]	factor value[cellular fraction]
PXD011290-CONTROL_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	CONTROL_1	cell	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1-TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	control	1 minute	soluble fraction
PXD011290-CONTROL_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	CONTROL_2	cell	2	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1-TMT127	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	control	1 minute	soluble fraction
PXD011290-CONTROL_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	CONTROL_3	cell	3	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1-TMT128	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	control	1 minute	soluble fraction
PXD011290-U50488H_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	U50488H_1	cell	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1-TMT129	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U50488H	1 minute	soluble fraction
PXD011290-U50488H_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	U50488H_2	cell	2	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1-TMT130	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U50488H	1 minute	soluble fraction
PXD011290-U50488H_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	U50488H_3	cell	3	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1-TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U50488H	1 minute	soluble fraction
PXD011290-CONTROL_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	CONTROL_1	cell	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10-TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	10	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	control	1 minute	soluble fraction
PXD011290-CONTROL_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	CONTROL_2	cell	2	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10-TMT127	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	10	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	control	1 minute	soluble fraction
PXD011290-CONTROL_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	CONTROL_3	cell	3	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10-TMT128	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	10	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	control	1 minute	soluble fraction
PXD011290-U50488H_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=semen;AC=UBERON:0001968	NT=sperm;AC=CL:0000019	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	male	not available	U50488H_1	cell	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10-TMT129	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	10	1	20170612_Qex3_2umCOL_25cm_SL_TMT_CYTO_1MIN_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U50488H	1 minute	soluble fraction
