source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Chandana-Fraction12-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction12-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction12-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction12-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction15-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction15-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction15-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction15-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction10-2	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Chandana-Fraction10-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction10-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction10-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction13-1	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Chandana-Fraction13-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction13-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction13-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction6-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction6-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction6-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction6-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction7-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction7-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction7-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction7-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction11-2	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Chandana-Fraction11-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction11-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction11-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction5-1	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Chandana-Fraction5-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction5-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction5-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction8-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction8-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction8-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction8-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction5-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction5-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction5-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction5-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction16-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction16-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction16-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction16-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction6-1	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Chandana-Fraction6-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction6-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction6-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Ckondapalli_130121_08_Rab8b_-CCCP_PINK1WT	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Ckondapalli_130121_08_Rab8b_-CCCP_PINK1WT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Ckondapalli_130121_08_Rab8b_-CCCP_PINK1WT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Ckondapalli_130121_08_Rab8b_-CCCP_PINK1WT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction13-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction13-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction13-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction13-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
CKondapalli_131112_11_Rab13_-CCCP_PINK1WT	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	CKondapalli_131112_11_Rab13_-CCCP_PINK1WT	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	CKondapalli_131112_11_Rab13_-CCCP_PINK1WT.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/CKondapalli_131112_11_Rab13_-CCCP_PINK1WT.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
CKondapalli_131112_01_Rab13_CCCP_Vector	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	CKondapalli_131112_01_Rab13_CCCP_Vector	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	CKondapalli_131112_01_Rab13_CCCP_Vector.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/CKondapalli_131112_01_Rab13_CCCP_Vector.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction16-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction16-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction16-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction16-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction6-4	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	Chandana-Fraction6-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction6-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction6-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction7-2	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Chandana-Fraction7-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction7-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction7-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction8-3	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	Chandana-Fraction8-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction8-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction8-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
Chandana-Fraction9-2	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	Chandana-Fraction9-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Chandana-Fraction9-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/Chandana-Fraction9-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
CKondapalli_131112_04_Rab13_-CCCP_Vector	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	CKondapalli_131112_04_Rab13_-CCCP_Vector	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	CKondapalli_131112_04_Rab13_-CCCP_Vector.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/CKondapalli_131112_04_Rab13_-CCCP_Vector.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
CKondapalli_131112_06_Rab13_-CCCP_PINK1KI	homo sapiens	kidney	HeLa cell	Parkinson's disease	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	CKondapalli_131112_06_Rab13_-CCCP_PINK1KI	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.5 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	CKondapalli_131112_06_Rab13_-CCCP_PINK1KI.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002127/CKondapalli_131112_06_Rab13_-CCCP_PINK1KI.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
