path	rows	unique_source_names	changed_source_rows	example_old_source_name	example_new_source_name	source_name_rule	assay_name_rule
datasets/PAD000026/PAD000026.sdrf.tsv	96	88	96	PAD000026-f01-r00001-SO-1	PAD000026-SO-1	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
datasets/PAD000030/PAD000030.sdrf.tsv	335	335	335	PAD000030-f01-r00001-14	PAD000030-14	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
datasets/PAD000033/PAD000033.sdrf.tsv	211	211	211	PAD000033-f01-r00001-2022-02-03-97-2	PAD000033-2022-02-03-97-2	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
datasets/PAD000036/PAD000036.sdrf.tsv	847	728	847	PAD000036-f01-r00001-29	PAD000036-29	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
datasets/PAD000037/PAD000037.sdrf.tsv	12	12	12	PAD000037-f01-r00001-Co1	PAD000037-Co1	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
datasets/PAD000041/PAD000041.sdrf.tsv	434	434	434	PAD000041-f01-r00001-WEAR_7001_V1	PAD000041-WEAR_7001_V1	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000001/PAD000001.sdrf.tsv	20	20	20	PAD000001-f01-r00001-XB6	PAD000001-XB6	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000002/PAD000002.sdrf.tsv	136	136	136	PAD000002-f01-r00001-O5-13	PAD000002-O5-13	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000003/PAD000003.sdrf.tsv	241	241	241	PAD000003-f01-r00001-C126_positive_7	PAD000003-C126_positive_7	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000004/PAD000004.sdrf.tsv	192	192	192	PAD000004-f01-r00001-SC_sample1_2	PAD000004-SC_sample1_2	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000005/PAD000005.sdrf.tsv	92	92	92	PAD000005-f01-r00001-CONTROL_SAMPLE	PAD000005-CONTROL_SAMPLE	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000006/PAD000006.sdrf.tsv	92	92	92	PAD000006-f01-r00001-S105	PAD000006-S105	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000008/PAD000008.sdrf.tsv	616	616	616	PAD000008-f01-r00001-P26	PAD000008-P26	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000009/PAD000009.sdrf.tsv	110	55	110	PAD000009-f01-r00001-L14_NIST_N4	PAD000009-L14_NIST_N4	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000010/PAD000010.sdrf.tsv	52	43	52	PAD000010-f01-r00001-4023_POST	PAD000010-4023_POST	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000013/PAD000013.sdrf.tsv	62	23	62	PAD000013-f01-r00001-II-1	PAD000013-II-1	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000014/PAD000014.sdrf.tsv	236	187	236	PAD000014-f01-r00001-5530214285_P	PAD000014-5530214285_P	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000016/PAD000016.sdrf.tsv	246	133	246	PAD000016-f01-r00001-NB177_T3	PAD000016-NB177_T3	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000019/PAD000019.sdrf.tsv	124	124	124	PAD000019-f01-r00001-A4098416	PAD000019-A4098416	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000020/PAD000020.sdrf.tsv	120	99	120	PAD000020-f01-r00001-A4098221	PAD000020-A4098221	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000021/PAD000021.sdrf.tsv	5734	2526	5734	PAD000021-f01-r00001-30001A0P1004	PAD000021-30001A0P1004	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000022/PAD000022.sdrf.tsv	94	94	94	PAD000022-f01-r00001-231139828	PAD000022-231139828	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000026/PAD000026.sdrf.tsv	96	88	96	PAD000026-f01-r00001-SO-1	PAD000026-SO-1	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000030/PAD000030.sdrf.tsv	335	335	335	PAD000030-f01-r00001-14	PAD000030-14	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000033/PAD000033.sdrf.tsv	211	211	211	PAD000033-f01-r00001-2022-02-03-97-2	PAD000033-2022-02-03-97-2	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000036/PAD000036.sdrf.tsv	847	728	847	PAD000036-f01-r00001-29	PAD000036-29	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000037/PAD000037.sdrf.tsv	12	12	12	PAD000037-f01-r00001-Co1	PAD000037-Co1	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
sandbox/PAD000041/PAD000041.sdrf.tsv	434	434	434	PAD000041-f01-r00001-WEAR_7001_V1	PAD000041-WEAR_7001_V1	{accession}-{deposited_sample_id}	{accession}-r{row_number}-{deposited_sample_id}
