source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[cellular component]
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	5	1	A_bRPLC_5_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	6	1	A_bRPLC_6_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	7	1	A_bRPLC_7_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	8	1	A_bRPLC_8_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	9	1	A_bRPLC_9_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	10	1	A_bRPLC_10_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	11	1	A_bRPLC_11_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_cytoplasm	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	2	run_24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	12	1	A_bRPLC_12_R2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	cytoplasm
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	1	1	P_bRPLC_1_R1_180804011059.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	2	1	P_bRPLC_2_R1_180804073255.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	3	1	P_bRPLC_3_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	4	1	P_bRPLC_4_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	5	1	P_bRPLC_5_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	6	1	P_bRPLC_6_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	7	1	P_bRPLC_7_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	8	1	P_bRPLC_8_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	9	1	P_bRPLC_9_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	10	1	P_bRPLC_10_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
leptospira_copenhageni_inner_membrane	Leptospira interrogans	not applicable	not applicable	normal	not available	not available	not available	serovar Copenhageni str. Fiocruz L1-130	cell	1	run_35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	High-pH reversed-phase chromatography (hpHRP)	10 ppm	20 ppm	11	1	P_bRPLC_11_R1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	inner membrane
