source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
b1790p086_NTERA2_LY2835219_PP1_r1	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p086_NTERA2_LY2835219_PP1_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p086_NTERA2_LY2835219_PP1_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p086_NTERA2_LY2835219_PP1_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p091_HL60_H89_2HCl_PP2_r1	homo sapiens	Epithelial cell	HL-60 cell	not available	enrichment of phosphorylated protein	1	b1790p091_HL60_H89_2HCl_PP2_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p091_HL60_H89_2HCl_PP2_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p091_HL60_H89_2HCl_PP2_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p079_PP2_NTERA_AZD5363_r2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p079_PP2_NTERA_AZD5363_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p079_PP2_NTERA_AZD5363_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p079_PP2_NTERA_AZD5363_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p091_NTERA2_H89_2HCl_PP2_r1	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p091_NTERA2_H89_2HCl_PP2_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p091_NTERA2_H89_2HCl_PP2_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p091_NTERA2_H89_2HCl_PP2_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p087_HL60_EDELFOSINE_PP1_r2	homo sapiens	Epithelial cell	HL-60 cell	not available	enrichment of phosphorylated protein	1	b1790p087_HL60_EDELFOSINE_PP1_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p087_HL60_EDELFOSINE_PP1_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p087_HL60_EDELFOSINE_PP1_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p075_MCF7_CAL_PP1_r2	homo sapiens	Epithelial cell	MCF-7 cell	not available	enrichment of phosphorylated protein	1	b1790p075_MCF7_CAL_PP1_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p075_MCF7_CAL_PP1_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p075_MCF7_CAL_PP1_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE1_Maru_Exp1_DLD1_2WT_PP1_R2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	QE1_Maru_Exp1_DLD1_2WT_PP1_R2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	QE1_Maru_Exp1_DLD1_2WT_PP1_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/QE1_Maru_Exp1_DLD1_2WT_PP1_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p086_NTERA2_DMSO_PP1_r1	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p086_NTERA2_DMSO_PP1_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p086_NTERA2_DMSO_PP1_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p086_NTERA2_DMSO_PP1_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p087_HL60_AC220_PP2_r1	homo sapiens	Epithelial cell	HL-60 cell	not available	enrichment of phosphorylated protein	1	b1790p087_HL60_AC220_PP2_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p087_HL60_AC220_PP2_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p087_HL60_AC220_PP2_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p091_MCF7_NU7441_PP2_r2	homo sapiens	Epithelial cell	MCF-7 cell	not available	enrichment of phosphorylated protein	1	b1790p091_MCF7_NU7441_PP2_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p091_MCF7_NU7441_PP2_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p091_MCF7_NU7441_PP2_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p085_NTERA2_JNK-IN-8_PP2_r2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p085_NTERA2_JNK-IN-8_PP2_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p085_NTERA2_JNK-IN-8_PP2_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p085_NTERA2_JNK-IN-8_PP2_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p079_PP1_NTERA_AZD1480_r1	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p079_PP1_NTERA_AZD1480_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p079_PP1_NTERA_AZD1480_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p079_PP1_NTERA_AZD1480_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p087_NTERA2_TAK715_PP2_r1	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p087_NTERA2_TAK715_PP2_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p087_NTERA2_TAK715_PP2_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p087_NTERA2_TAK715_PP2_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p091_NTERA2_DMSO_PP2_r2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p091_NTERA2_DMSO_PP2_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p091_NTERA2_DMSO_PP2_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p091_NTERA2_DMSO_PP2_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p091_HL60_DMSO_PP2_r2	homo sapiens	Epithelial cell	HL-60 cell	not available	enrichment of phosphorylated protein	1	b1790p091_HL60_DMSO_PP2_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p091_HL60_DMSO_PP2_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p091_HL60_DMSO_PP2_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p091_MCF7_KD025_PP1_r1	homo sapiens	Epithelial cell	MCF-7 cell	not available	enrichment of phosphorylated protein	1	b1790p091_MCF7_KD025_PP1_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p091_MCF7_KD025_PP1_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p091_MCF7_KD025_PP1_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p079_PP1_NTERA_DMSO_r1	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p079_PP1_NTERA_DMSO_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p079_PP1_NTERA_DMSO_r1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p079_PP1_NTERA_DMSO_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
b1790p087_NTERA2_SP600125_PP1_r2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	b1790p087_NTERA2_SP600125_PP1_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive plus;AC=MS:1002634	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	b1790p087_NTERA2_SP600125_PP1_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD015943/b1790p087_NTERA2_SP600125_PP1_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
