source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[sample storage]	characteristics[filter size]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[contaminant database]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[collection date]	factor value[filter size]
PXD022995_sample5	PXD022995_sample5	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-06	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 0.8 micrometer filter	1 m	surface	-80C	0.8 micrometer	1	180412_0749_097_S05_Rep_2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	2	180412_0749_097_S05_Rep_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-06	0.8 micrometer
PXD022995_sample6	PXD022995_sample6	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-06	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 3.0 micrometer filter	1 m	surface	-80C	3.0 micrometer	1	180412_0749_097_S06_Rep_1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	1	180412_0749_097_S06_Rep_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-06	3.0 micrometer
PXD022995_sample6	PXD022995_sample6	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-06	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 3.0 micrometer filter	1 m	surface	-80C	3.0 micrometer	1	180412_0749_097_S06_Rep_2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	2	180412_0749_097_S06_Rep_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-06	3.0 micrometer
PXD022995_sample6	PXD022995_sample6	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-06	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 3.0 micrometer filter	1 m	surface	-80C	3.0 micrometer	1	180412_0749_097_S06_Rep_3	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	3	180412_0749_097_S06_Rep_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-06	3.0 micrometer
PXD022995_sample7	PXD022995_sample7	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-15	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 0.1 micrometer filter	1 m	surface	-80C	0.1 micrometer	1	180412_0749_097_S07_Rep_1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	1	180412_0749_097_S07_Rep_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-15	0.1 micrometer
PXD022995_sample7	PXD022995_sample7	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-15	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 0.1 micrometer filter	1 m	surface	-80C	0.1 micrometer	1	180412_0749_097_S07_Rep_2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	2	180412_0749_097_S07_Rep_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-15	0.1 micrometer
PXD022995_sample8	PXD022995_sample8	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-15	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 0.8 micrometer filter	1 m	surface	-80C	0.8 micrometer	1	180412_0749_097_S08_Rep_1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	1	180412_0749_097_S08_Rep_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-15	0.8 micrometer
PXD022995_sample8	PXD022995_sample8	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-15	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 0.8 micrometer filter	1 m	surface	-80C	0.8 micrometer	1	180412_0749_097_S08_Rep_2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	2	180412_0749_097_S08_Rep_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-15	0.8 micrometer
PXD022995_sample9	PXD022995_sample9	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-15	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 3.0 micrometer filter	1 m	surface	-80C	3.0 micrometer	1	180412_0749_097_S09_Rep_1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	1	180412_0749_097_S09_Rep_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-15	3.0 micrometer
PXD022995_sample9	PXD022995_sample9	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-15	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 3.0 micrometer filter	1 m	surface	-80C	3.0 micrometer	1	180412_0749_097_S09_Rep_2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	2	180412_0749_097_S09_Rep_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-15	3.0 micrometer
PXD022995_sample9	PXD022995_sample9	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-15	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 3.0 micrometer filter	1 m	surface	-80C	3.0 micrometer	1	180412_0749_097_S09_Rep_3	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	3	180412_0749_097_S09_Rep_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-15	3.0 micrometer
PXD022995_sample10	PXD022995_sample10	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-22	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 0.1 micrometer filter	1 m	surface	-80C	0.1 micrometer	1	180412_0749_097_S10_Rep_1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	1	180412_0749_097_S10_Rep_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-22	0.1 micrometer
PXD022995_sample10	PXD022995_sample10	NT=marine plankton environmental sample;AC=NCBITaxon:632957	not applicable	not applicable	not applicable	Ross_Sea_Surface_Water_Metaproteomics	NT=sea water;AC=ENVO:00002149	NT=sea water;AC=ENVO:00002149	NT=McMurdo Sound;AC=GAZ:00002625	2015-01-22	sequential filtration of 150-250 L seawater from 1 m depth at sea ice edge through 3.0, 0.8, and 0.1 micrometer Supor filters; biomass retained on 0.1 micrometer filter	1 m	surface	-80C	0.1 micrometer	1	180412_0749_097_S10_Rep_2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	not available	not available	cRAP	1	2	180412_0749_097_S10_Rep_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	2015-01-22	0.1 micrometer
