source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20110704_Velos3_BTW_SA_sc_SP8B_Lys-C_p_F04	Saccharomyces cerevisiae	not available	not applicable	not available	1	20110704_Velos3_BTW_SA_sc_SP8B_Lys-C_p_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	4	1	20110704_Velos3_BTW_SA_sc_SP8B_Lys-C_p_F04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20110704_Velos3_BTW_SA_sc_SP8B_Lys-C_p_F04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120401_QE4_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_acK02	Saccharomyces cerevisiae	not available	not applicable	not available	1	20120401_QE4_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_acK02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	1	1	20120401_QE4_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_acK02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20120401_QE4_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_acK02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20121107_QE6_LC4_BTW_SA_sc_EP0_SPD4_SP2DG8_exp2_acK_F05	Saccharomyces cerevisiae	not available	not applicable	not available	1	20121107_QE6_LC4_BTW_SA_sc_EP0_SPD4_SP2DG8_exp2_acK_F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	5	1	20121107_QE6_LC4_BTW_SA_sc_EP0_SPD4_SP2DG8_exp2_acK_F05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20121107_QE6_LC4_BTW_SA_sc_EP0_SPD4_SP2DG8_exp2_acK_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120401_QE1_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_EXP1_acK01	Saccharomyces cerevisiae	not available	not applicable	not available	1	20120401_QE1_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_EXP1_acK01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	1	1	20120401_QE1_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_EXP1_acK01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20120401_QE1_BTW_SA_sc_wtLP0_wtSP4_pda1SP8_EXP1_acK01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120419_QE3_BTW_QC_SA_sc_wtLP0_cit1LP8_exp1_acK_F02	Saccharomyces cerevisiae	not available	not applicable	not available	1	20120419_QE3_BTW_QC_SA_sc_wtLP0_cit1LP8_exp1_acK_F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	2	1	20120419_QE3_BTW_QC_SA_sc_wtLP0_cit1LP8_exp1_acK_F02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20120419_QE3_BTW_QC_SA_sc_wtLP0_cit1LP8_exp1_acK_F02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120915_QE2_LC8_BTW_SA_sc_acP-E_acK_F04	Saccharomyces cerevisiae	not available	not applicable	not available	1	20120915_QE2_LC8_BTW_SA_sc_acP-E_acK_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	4	1	20120915_QE2_LC8_BTW_SA_sc_acP-E_acK_F04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20120915_QE2_LC8_BTW_SA_sc_acP-E_acK_F04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20110617_Velos2_BTW_SA_sc_SP8-B_proteome_F04	Saccharomyces cerevisiae	not available	not applicable	not available	1	20110617_Velos2_BTW_SA_sc_SP8-B_proteome_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	4	1	20110617_Velos2_BTW_SA_sc_SP8-B_proteome_F04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20110617_Velos2_BTW_SA_sc_SP8-B_proteome_F04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20110614_Velos3_BTW_SA_sc_SP-B_CID_F04	Saccharomyces cerevisiae	not available	not applicable	not available	1	20110614_Velos3_BTW_SA_sc_SP-B_CID_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	4	1	20110614_Velos3_BTW_SA_sc_SP-B_CID_F04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20110614_Velos3_BTW_SA_sc_SP-B_CID_F04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120208_QE4_BTW_SA_sc_LP0_SPD4_SP2DG8_acK_F03	Saccharomyces cerevisiae	not available	not applicable	not available	1	20120208_QE4_BTW_SA_sc_LP0_SPD4_SP2DG8_acK_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	3	1	20120208_QE4_BTW_SA_sc_LP0_SPD4_SP2DG8_acK_F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20120208_QE4_BTW_SA_sc_LP0_SPD4_SP2DG8_acK_F03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20120907_QE2_LC8_BTW_SA_sc_acP_acK_A_F01	Saccharomyces cerevisiae	not available	not applicable	not available	1	20120907_QE2_LC8_BTW_SA_sc_acP_acK_A_F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	1	1	20120907_QE2_LC8_BTW_SA_sc_acP_acK_A_F01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20120907_QE2_LC8_BTW_SA_sc_acP_acK_A_F01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20110614_Velos3_BTW_SA_sc_SP-A_CID_F03	Saccharomyces cerevisiae	not available	not applicable	not available	1	20110614_Velos3_BTW_SA_sc_SP-A_CID_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	3	1	20110614_Velos3_BTW_SA_sc_SP-A_CID_F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20110614_Velos3_BTW_SA_sc_SP-A_CID_F03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20110613_Velos2_BTW_SA_sc_SP-A_proteome_F03	Saccharomyces cerevisiae	not available	not applicable	not available	1	20110613_Velos2_BTW_SA_sc_SP-A_proteome_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	strong cation exchange chromatography	acrylamide	3	1	20110613_Velos2_BTW_SA_sc_SP-A_proteome_F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000507/20110613_Velos2_BTW_SA_sc_SP-A_proteome_F03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
