source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
20140827_EXQ00_FaHo_SA_RSC8_01	saccharomyces cerevisiae	not available	not applicable	not available	1	20140827_EXQ00_FaHo_SA_RSC8_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_RSC8_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_RSC8_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_ADA2_01	saccharomyces cerevisiae	not available	not applicable	not available	1	20140827_EXQ00_FaHo_SA_ADA2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_ADA2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_ADA2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140602_QEp4_FaHo_SA_ADA2_01	saccharomyces cerevisiae	not available	not applicable	not available	1	20140602_QEp4_FaHo_SA_ADA2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140602_QEp4_FaHo_SA_ADA2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140602_QEp4_FaHo_SA_ADA2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_SIR2_02	saccharomyces cerevisiae	not available	not applicable	not available	2	20140827_EXQ00_FaHo_SA_SIR2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_SIR2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_SIR2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_BRE2_02	saccharomyces cerevisiae	not available	not applicable	not available	2	20140827_EXQ00_FaHo_SA_BRE2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_BRE2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_BRE2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140828_EXQ00_RiSc_SA_HeLa_030min_200nl	saccharomyces cerevisiae	not available	not applicable	not available	1	20140828_EXQ00_RiSc_SA_HeLa_030min_200nl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140828_EXQ00_RiSc_SA_HeLa_030min_200nl.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140828_EXQ00_RiSc_SA_HeLa_030min_200nl.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140828_EXQ00_RiSc_SA_HeLa_045min_400nl	saccharomyces cerevisiae	not available	not applicable	not available	1	20140828_EXQ00_RiSc_SA_HeLa_045min_400nl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140828_EXQ00_RiSc_SA_HeLa_045min_400nl.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140828_EXQ00_RiSc_SA_HeLa_045min_400nl.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_SET1_02	saccharomyces cerevisiae	not available	not applicable	not available	2	20140827_EXQ00_FaHo_SA_SET1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_SET1_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_SET1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140602_QEp4_FaHo_SA_GCN5_02	saccharomyces cerevisiae	not available	not applicable	not available	2	20140602_QEp4_FaHo_SA_GCN5_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140602_QEp4_FaHo_SA_GCN5_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140602_QEp4_FaHo_SA_GCN5_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140828_EXQ00_RiSc_SA_HeLa_015min_400nl	saccharomyces cerevisiae	not available	not applicable	not available	1	20140828_EXQ00_RiSc_SA_HeLa_015min_400nl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140828_EXQ00_RiSc_SA_HeLa_015min_400nl.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140828_EXQ00_RiSc_SA_HeLa_015min_400nl.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_GFP_01	saccharomyces cerevisiae	not available	not applicable	not available	1	20140827_EXQ00_FaHo_SA_GFP_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_GFP_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_GFP_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_BDF1_01	saccharomyces cerevisiae	not available	not applicable	not available	1	20140827_EXQ00_FaHo_SA_BDF1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_BDF1_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_BDF1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140602_QEp4_FaHo_SA_EAF3_03	saccharomyces cerevisiae	not available	not applicable	not available	3	20140602_QEp4_FaHo_SA_EAF3_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140602_QEp4_FaHo_SA_EAF3_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140602_QEp4_FaHo_SA_EAF3_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_BDF2_02	saccharomyces cerevisiae	not available	not applicable	not available	2	20140827_EXQ00_FaHo_SA_BDF2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_BDF2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_BDF2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140602_QEp4_FaHo_SA_SWI3_02	saccharomyces cerevisiae	not available	not applicable	not available	2	20140602_QEp4_FaHo_SA_SWI3_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140602_QEp4_FaHo_SA_SWI3_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140602_QEp4_FaHo_SA_SWI3_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140602_QEp4_FaHo_SA_BDF2_02	saccharomyces cerevisiae	not available	not applicable	not available	2	20140602_QEp4_FaHo_SA_BDF2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140602_QEp4_FaHo_SA_BDF2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140602_QEp4_FaHo_SA_BDF2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_GCN5_01	saccharomyces cerevisiae	not available	not applicable	not available	1	20140827_EXQ00_FaHo_SA_GCN5_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_GCN5_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_GCN5_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
20140827_EXQ00_FaHo_SA_EAF3_03	saccharomyces cerevisiae	not available	not applicable	not available	3	20140827_EXQ00_FaHo_SA_EAF3_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	4.5 ppm	20 ppm	27% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140827_EXQ00_FaHo_SA_EAF3_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001695/20140827_EXQ00_FaHo_SA_EAF3_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
