source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
cat_liver_ch118	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	3	cat_liver_ch118_F3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq118	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	1	P140561_3_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch121	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	4	cat_liver_ch121_F3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq121	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	3	1	P140561_3_3.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch114	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	1	cat_liver_ch114_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq114	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	1	P140561_3_4.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch116	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	2	cat_liver_ch116_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq116	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	1	P140561_3_4.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch118	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	3	cat_liver_ch118_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq118	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	1	P140561_3_4.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch121	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	4	cat_liver_ch121_F4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq121	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	4	1	P140561_3_4.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch114	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	1	cat_liver_ch114_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq114	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	1	P140561_3_5.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_5.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch116	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	2	cat_liver_ch116_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq116	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	1	P140561_3_5.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_5.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch118	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	3	cat_liver_ch118_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq118	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	1	P140561_3_5.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_5.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch121	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	4	cat_liver_ch121_F5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq121	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	5	1	P140561_3_5.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_5.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch114	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	1	cat_liver_ch114_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq114	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	1	P140561_3_6.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_6.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch116	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	2	cat_liver_ch116_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq116	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	1	P140561_3_6.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_6.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch118	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	3	cat_liver_ch118_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq118	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	1	P140561_3_6.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_6.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch121	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	4	cat_liver_ch121_F6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq121	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	6	1	P140561_3_6.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_6.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch114	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	1	cat_liver_ch114_F7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq114	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	7	1	P140561_3_7.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_7.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
cat_liver_ch116	Felis catus	liver	not applicable	not available	juvenile stage	not available	not available	Chinese Lihua	tissue	not available	2	cat_liver_ch116_F7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	itraq116	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=iTRAQ8plex;AC=UNIMOD:730;TA=K;MT=Fixed	NT=iTRAQ8plex;AC=UNIMOD:730;PP=Any N-term;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	7	1	P140561_3_7.wiff	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/10/PXD033778/P140561_3_7.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
