source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20230629_HF1_MaRa_P0204_M_WT_IMS_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_WT_IMS_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_WT_IMS_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_WT_IMS_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_WT_IMS_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_WT_IMS_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_WT_MATRIX_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_WT_MATRIX_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_WT_MATRIX_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_WT_MATRIX_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_WT_MATRIX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_IMS_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_IMS_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_IMS_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_IMS_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_IMS_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_MATRIX_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_MATRIX_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_MATRIX_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_M_atp6_MATRIX_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_M_atp6_MATRIX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_WT_1	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_WT_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_WT_2	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_WT_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_WT_3	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_WT_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_WT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_WT_4	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_WT_4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_WT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_IMS_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_IMS_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_IMS_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_IMS_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_IMS_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_IMS_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_IMS_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_IMS_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_IMS_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_IMS_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_IMS_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_IMS_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_MATRIX_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_MATRIX_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_MATRIX_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_WT_MATRIX_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_WT_MATRIX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_IMS_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_IMS_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_IMS_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_IMS_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_IMS_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_MATRIX_01	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_MATRIX_02	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_MATRIX_03	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_W_atp23_MATRIX_04	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_W_atp23_MATRIX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
20230629_HF1_MaRa_P0204_atp23_1	Saccharomyces cerevisiae	cell suspension culture	not available	1	20230629_HF1_MaRa_P0204_atp23_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20230629_HF1_MaRa_P0204_atp23_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cell suspension culture
