source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[synthetic peptide]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[mhc protein complex]	characteristics[immunopeptidome enrichment method]	characteristics[mhc typing]	characteristics[mhc typing method]	characteristics[antibody enrichment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[elution conditions]	factor value[source name]
PXD011628_PBMC005	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC005	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC005_msms32	proteomic profiling by mass spectrometry	2	PBMC005_msms32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC005
PXD011628_PBMC005	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC005	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC005_msms33	proteomic profiling by mass spectrometry	3	PBMC005_msms33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC005
PXD011628_PBMC006	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC006	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC006_msms6	proteomic profiling by mass spectrometry	1	PBMC006_msms6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC006
PXD011628_PBMC006	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC006	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC006_msms7	proteomic profiling by mass spectrometry	2	PBMC006_msms7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC006
PXD011628_PBMC006	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC006	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC006_msms21	proteomic profiling by mass spectrometry	3	PBMC006_msms21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC006
PXD011628_PBMC007	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC007	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC007_msms29	proteomic profiling by mass spectrometry	1	PBMC007_msms29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC007
PXD011628_PBMC007	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC007	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC007_msms30	proteomic profiling by mass spectrometry	2	PBMC007_msms30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC007
PXD011628_PBMC007	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC007	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC007_msms31	proteomic profiling by mass spectrometry	3	PBMC007_msms31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC007
PXD011628_PBMC008	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC008	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC008_msms21	proteomic profiling by mass spectrometry	1	PBMC008_msms21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC008
PXD011628_PBMC008	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC008	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC008_msms22	proteomic profiling by mass spectrometry	2	PBMC008_msms22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC008
PXD011628_PBMC008	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC008	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC008_msms23	proteomic profiling by mass spectrometry	3	PBMC008_msms23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC008
PXD011628_PBMC008	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC008	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC008_msms24	proteomic profiling by mass spectrometry	4	PBMC008_msms24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC008
PXD011628_PBMC008	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC008	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC008_msms25	proteomic profiling by mass spectrometry	5	PBMC008_msms25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC008
PXD011628_PBMC009	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC009	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC009_msms35	proteomic profiling by mass spectrometry	1	PBMC009_msms35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC009
PXD011628_PBMC009	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC009	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC009_msms36	proteomic profiling by mass spectrometry	2	PBMC009_msms36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC009
PXD011628_PBMC009	Homo sapiens	peripheral blood	peripheral blood mononuclear cell	1	not pooled	study sample	normal	cell	not synthetic	not available	not available	not available	not available	PBMC009	MHC class I protein complex	immunoaffinity purification	not available	not available	W6/32 (pan-HLA class I)	PBMC009_msms37	proteomic profiling by mass spectrometry	3	PBMC009_msms37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	not available	not available	not available	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=orbitrap;AC=MS:1000484	not available	gradient 2.4-32.0% acetonitrile over 90 min, 50 um x 25 cm PepMap RSLC C18 column	PXD011628_PBMC009
