source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
120627_10_Sandra_INFA2_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120627_10_Sandra_INFA2_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120627_10_Sandra_INFA2_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120627_10_Sandra_INFA2_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120709_08_Sandra_INFA1_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120709_08_Sandra_INFA1_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120709_08_Sandra_INFA1_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120709_08_Sandra_INFA1_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120627_02_Sandra_C1_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120627_02_Sandra_C1_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120627_02_Sandra_C1_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120627_02_Sandra_C1_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120627_12_Sandra_INFA4_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120627_12_Sandra_INFA4_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120627_12_Sandra_INFA4_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120627_12_Sandra_INFA4_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120709_05_Sandra_C5_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120709_05_Sandra_C5_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120709_05_Sandra_C5_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120709_05_Sandra_C5_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120627_09_Sandra_INFA1_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120627_09_Sandra_INFA1_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120627_09_Sandra_INFA1_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120627_09_Sandra_INFA1_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120627_03_Sandra_C2_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120627_03_Sandra_C2_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120627_03_Sandra_C2_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120627_03_Sandra_C2_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120627_06_Sandra_C5_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120627_06_Sandra_C5_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120627_06_Sandra_C5_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120627_06_Sandra_C5_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120627_05_Sandra_C4_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120627_05_Sandra_C4_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120627_05_Sandra_C4_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120627_05_Sandra_C4_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
120709_09_Sandra_INFA2_10MS2_110min	homo sapiens	Macrophage	not applicable	Influenza	1	120709_09_Sandra_INFA2_10MS2_110min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.02 Da	30% NCE	strong cation-exchange chromatography (scx)	1	1	120709_09_Sandra_INFA2_10MS2_110min.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD001620/120709_09_Sandra_INFA2_10MS2_110min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Macrophage
