source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[dissociation method]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]
dhh1_pat1_2	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta pat1-delta	2	Hinnebusch_042122_TMTpro_SF01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT131C;AC=PRIDE:0000581	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	1	1	Hinnebusch_042122_TMTpro_SF01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta pat1-delta
dhh1_pat1_3	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta pat1-delta	3	Hinnebusch_042122_TMTpro_SF01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT132N;AC=PRIDE:0000582	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	1	1	Hinnebusch_042122_TMTpro_SF01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta pat1-delta
WT_1	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	WT	1	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT126;AC=PRIDE:0000516	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_2	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	WT	2	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_3	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	WT	3	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT127C;AC=PRIDE:0000518	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
pat1_1	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	pat1-delta	1	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT128N;AC=PRIDE:0000522	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pat1-delta
pat1_2	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	pat1-delta	2	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT128C;AC=PRIDE:0000521	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pat1-delta
pat1_3	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	pat1-delta	3	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT129N;AC=PRIDE:0000525	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pat1-delta
dhh1_1	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta	1	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT129C;AC=PRIDE:0000524	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta
dhh1_2	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta	2	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT130N;AC=PRIDE:0000528	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta
dhh1_3	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta	3	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT130C;AC=PRIDE:0000527	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta
dhh1_pat1_1	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta pat1-delta	1	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT131N;AC=PRIDE:0000580	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta pat1-delta
dhh1_pat1_2	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta pat1-delta	2	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT131C;AC=PRIDE:0000581	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta pat1-delta
dhh1_pat1_3	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	dhh1-delta pat1-delta	3	Hinnebusch_042122_TMTpro_SF02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT132N;AC=PRIDE:0000582	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	2	1	Hinnebusch_042122_TMTpro_SF02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	dhh1-delta pat1-delta
WT_1	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	WT	1	Hinnebusch_042122_TMTpro_SF03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT126;AC=PRIDE:0000516	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	3	1	Hinnebusch_042122_TMTpro_SF03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_2	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	WT	2	Hinnebusch_042122_TMTpro_SF03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT127N;AC=PRIDE:0000519	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	3	1	Hinnebusch_042122_TMTpro_SF03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
WT_3	Saccharomyces cerevisiae	not applicable	not applicable	fungal cell	whole organism	WT	3	Hinnebusch_042122_TMTpro_SF03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=TMT127C;AC=PRIDE:0000518	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	NT=beam-type collision-induced dissociation;AC=MS:1000422	38 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	3	1	Hinnebusch_042122_TMTpro_SF03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT
