source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
RX_Depth14dot8_Run1_11	RX_Depth14dot8_Run1_11	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth14dot8_Run1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth14dot8_Run1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_01	RX_Depth3dot4_Run1_01	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_02	RX_Depth3dot4_Run1_02	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_03	RX_Depth3dot4_Run1_03	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_04	RX_Depth3dot4_Run1_04	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_05	RX_Depth3dot4_Run1_05	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_06	RX_Depth3dot4_Run1_06	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_07	RX_Depth3dot4_Run1_07	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_08	RX_Depth3dot4_Run1_08	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_09	RX_Depth3dot4_Run1_09	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_10	RX_Depth3dot4_Run1_10	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth3dot4_Run1_11	RX_Depth3dot4_Run1_11	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth3dot4_Run1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth3dot4_Run1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_01	RX_Depth5dot8_Run1_01	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_02	RX_Depth5dot8_Run1_02	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_03	RX_Depth5dot8_Run1_03	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_04	RX_Depth5dot8_Run1_04	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_05	RX_Depth5dot8_Run1_05	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_06	RX_Depth5dot8_Run1_06	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_07	RX_Depth5dot8_Run1_07	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_08	RX_Depth5dot8_Run1_08	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_09	RX_Depth5dot8_Run1_09	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_10	RX_Depth5dot8_Run1_10	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
RX_Depth5dot8_Run1_11	RX_Depth5dot8_Run1_11	Permafrost metagenome	soil	not applicable	not available	Metaproteomic_analyses_of_microbial_community_from_ancient_permafrost	soil	soil	not available	not available	not available	not available	soil microbiome	1	RX_Depth5dot8_Run1_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	RX_Depth5dot8_Run1_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=soil;VV=v1.0.0	manual curation	soil
