source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Spinach_RPs_topdown_top3_medium_high_1h_grad_NCE30_dyn_excl13	Spinacia oleracea	not available	not available	1	not available	not available	not available	not available	not available	Spinach_RPs_topdown_top3_medium_high_1h_grad_NCE30_dyn_excl13	proteomic profiling by mass spectrometry	1	Spinach_RPs_topdown_top3_medium_high_1h_grad_NCE30_dyn_excl13.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_40S_topdown_top3_high_high_1h_grad	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_40S_topdown_top3_high_high_1h_grad	proteomic profiling by mass spectrometry	1	Human_RPs_40S_topdown_top3_high_high_1h_grad.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi_RPs_topdown_top5_high_high_30min_grad_10_to50_ACN	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	EColi_RPs_topdown_top5_high_high_30min_grad_10_to50_ACN	proteomic profiling by mass spectrometry	1	EColi_RPs_topdown_top5_high_high_30min_grad_10_to50_ACN.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EColi_RPs_topdown_top5_medium_high_30min_grad_10_to50_ACN_2	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	EColi_RPs_topdown_top5_medium_high_30min_grad_10_to50_ACN_2	proteomic profiling by mass spectrometry	1	EColi_RPs_topdown_top5_medium_high_30min_grad_10_to50_ACN_2.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Spinach_RPs_topdown_top3_high_high_1h_grad_NCE30_dyn_excl60	Spinacia oleracea	not available	not available	1	not available	not available	not available	not available	not available	Spinach_RPs_topdown_top3_high_high_1h_grad_NCE30_dyn_excl60	proteomic profiling by mass spectrometry	1	Spinach_RPs_topdown_top3_high_high_1h_grad_NCE30_dyn_excl60.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_60S_topdown_top3_medium_high_1h_grad_NCE35_dyn_excl13	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_60S_topdown_top3_medium_high_1h_grad_NCE35_dyn_excl13	proteomic profiling by mass spectrometry	1	Human_RPs_60S_topdown_top3_medium_high_1h_grad_NCE35_dyn_excl13.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_40S_topdown_top3_high_high_1h_grad_NCE35_dyn_excl13	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_40S_topdown_top3_high_high_1h_grad_NCE35_dyn_excl13	proteomic profiling by mass spectrometry	1	Human_RPs_40S_topdown_top3_high_high_1h_grad_NCE35_dyn_excl13.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
human_ribosome_40S_bottomup	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	human_ribosome_40S_bottomup	proteomic profiling by mass spectrometry	1	human_ribosome_40S_bottomup.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_60S_topdown_top3_medium_high	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_60S_topdown_top3_medium_high	proteomic profiling by mass spectrometry	1	Human_RPs_60S_topdown_top3_medium_high.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_60S_topdown_top3_high_high	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_60S_topdown_top3_high_high	proteomic profiling by mass spectrometry	1	Human_RPs_60S_topdown_top3_high_high.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
human_ribosome_60S_bottomup	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	human_ribosome_60S_bottomup	proteomic profiling by mass spectrometry	1	human_ribosome_60S_bottomup.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	10 ppm	20 ppm	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_60S_topdown_top3_medium_high_1h_grad_NCE35_dyn_excl60	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_60S_topdown_top3_medium_high_1h_grad_NCE35_dyn_excl60	proteomic profiling by mass spectrometry	1	Human_RPs_60S_topdown_top3_medium_high_1h_grad_NCE35_dyn_excl60.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_60S_topdown_top3_medium_high_NCE35	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_60S_topdown_top3_medium_high_NCE35	proteomic profiling by mass spectrometry	1	Human_RPs_60S_topdown_top3_medium_high_NCE35.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Human_RPs_40S_topdown_top3_medium_high_1h_grad	Homo sapiens	not available	not available	1	not available	not available	not available	not available	not available	Human_RPs_40S_topdown_top3_medium_high_1h_grad	proteomic profiling by mass spectrometry	1	Human_RPs_40S_topdown_top3_medium_high_1h_grad.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
Spinach_RPs_topdown_top3_high_high_1h_grad_NCE30_dyn_excl13	Spinacia oleracea	not available	not available	1	not available	not available	not available	not available	not available	Spinach_RPs_topdown_top3_high_high_1h_grad_NCE30_dyn_excl13	proteomic profiling by mass spectrometry	1	Spinach_RPs_topdown_top3_high_high_1h_grad_NCE30_dyn_excl13.raw	v1.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	NT=q exactive hf;AC=MS:1002523	not applicable	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
