source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[perturbation]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[size-fraction lower threshold]	comment[size-fraction upper threshold]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F5_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	5	2	P1800820001_F5_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F6_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	6	1	P1800820001_F6_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F6_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	6	2	P1800820001_F6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F7_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	7	1	P1800820001_F7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F7_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	7	2	P1800820001_F7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F8_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	8	1	P1800820001_F8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F8_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	8	2	P1800820001_F8_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F9_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	9	1	P1800820001_F9_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_sur	SS1_A_sur	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	5 m	epipelagic	not applicable	1	P1800820001_F9_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	9	2	P1800820001_F9_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_sur
SS1_A_dcm	SS1_A_dcm	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	100 m	epipelagic	not applicable	1	P1800820002_F10_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	10	1	P1800820002_F10_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_dcm
SS1_A_dcm	SS1_A_dcm	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	100 m	epipelagic	not applicable	1	P1800820002_F10_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	10	2	P1800820002_F10_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_dcm
SS1_A_dcm	SS1_A_dcm	marine metagenome	not applicable	not applicable	not applicable	not available	sea water	South China Sea	2017-06	Niskin bottle CTD cast; sequential filtration (1.6-200 um particle-associated fraction)	100 m	epipelagic	not applicable	1	P1800820002_F1_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1.6 um	200 um	1	1	P1800820002_F1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	SS1_A_dcm
