source name	characteristics[individual]	characteristics[organism]	characteristics[strain or breed]	characteristics[genotype]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[material type]	characteristics[organism part]	characteristics[subcellular fraction]	characteristics[pooled sample]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[dissociation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[collision energy]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms2 mass analyzer]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[organism part]	factor value[subcellular fraction]
CTX_KO-3_synap	CTX_KO-3	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	cerebral cortex	synaptosome	not pooled	normal	3	run 11	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-CTXsynap-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=cerebral cortex;AC=UBERON:0000956	synaptosome
CTX_KO-3_cyto	CTX_KO-3	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	cerebral cortex	cytosol	not pooled	normal	3	run 12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-CTXcyto-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=cerebral cortex;AC=UBERON:0000956	cytosol
HIP_WT-1_synap	HIP_WT-1	Mus musculus	C57BL/6J	wild type genotype	male	12W-16W	adult	not applicable	tissue	hippocampal formation	synaptosome	pooled	normal	1	run 13	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPsynap-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type genotype	NT=hippocampal formation;AC=UBERON:0002421	synaptosome
HIP_WT-1_cyto	HIP_WT-1	Mus musculus	C57BL/6J	wild type genotype	male	12W-16W	adult	not applicable	tissue	hippocampal formation	cytosol	pooled	normal	1	run 14	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPcyto-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type genotype	NT=hippocampal formation;AC=UBERON:0002421	cytosol
HIP_WT-2_synap	HIP_WT-2	Mus musculus	C57BL/6J	wild type genotype	male	12W-16W	adult	not applicable	tissue	hippocampal formation	synaptosome	pooled	normal	2	run 15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPsynap-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type genotype	NT=hippocampal formation;AC=UBERON:0002421	synaptosome
HIP_WT-2_cyto	HIP_WT-2	Mus musculus	C57BL/6J	wild type genotype	male	12W-16W	adult	not applicable	tissue	hippocampal formation	cytosol	pooled	normal	2	run 16	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPcyto-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type genotype	NT=hippocampal formation;AC=UBERON:0002421	cytosol
HIP_WT-3_synap	HIP_WT-3	Mus musculus	C57BL/6J	wild type genotype	male	12W-16W	adult	not applicable	tissue	hippocampal formation	synaptosome	pooled	normal	3	run 17	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPsynap-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type genotype	NT=hippocampal formation;AC=UBERON:0002421	synaptosome
HIP_WT-3_cyto	HIP_WT-3	Mus musculus	C57BL/6J	wild type genotype	male	12W-16W	adult	not applicable	tissue	hippocampal formation	cytosol	pooled	normal	3	run 18	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPcyto-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type genotype	NT=hippocampal formation;AC=UBERON:0002421	cytosol
HIP_KO-1_synap	HIP_KO-1	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	hippocampal formation	synaptosome	pooled	normal	1	run 19	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPsynap-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=hippocampal formation;AC=UBERON:0002421	synaptosome
HIP_KO-1_cyto	HIP_KO-1	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	hippocampal formation	cytosol	pooled	normal	1	run 20	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPcyto-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=hippocampal formation;AC=UBERON:0002421	cytosol
HIP_KO-2_synap	HIP_KO-2	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	hippocampal formation	synaptosome	pooled	normal	2	run 21	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPsynap-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=hippocampal formation;AC=UBERON:0002421	synaptosome
HIP_KO-2_cyto	HIP_KO-2	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	hippocampal formation	cytosol	pooled	normal	2	run 22	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPcyto-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=hippocampal formation;AC=UBERON:0002421	cytosol
HIP_KO-3_synap	HIP_KO-3	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	hippocampal formation	synaptosome	pooled	normal	3	run 23	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPsynap-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=hippocampal formation;AC=UBERON:0002421	synaptosome
HIP_KO-3_cyto	HIP_KO-3	Mus musculus	not available	Chrdl1 knockout	male	12W-16W	adult	not applicable	tissue	hippocampal formation	cytosol	pooled	normal	3	run 24	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=HCD;AC=PRIDE:0000590	380	980	2	not available	25% NCE	380m/z-980m/z	110m/z-2000m/z	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	NT=Trypsin;AC=MS:1001251	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Met-loss;AC=UNIMOD:765;MT=Variable;PP=Protein N-term;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	5 ppm	10 ppm	1	1	Blanco-SuarezE-25-L185-AstralDIA-HIPcyto-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Chrdl1 knockout	NT=hippocampal formation;AC=UBERON:0002421	cytosol
