source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD035622-Sample-6	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD035622-Individual-6	tissue	6	Mitochondria isolated from hearts of sham-operated control mice (thoracotomy without aortic banding),...	not available	040522_0391_12_sham_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	040522_0391_12_sham_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035622-Sample-6	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD035622-Individual-6	tissue	6	Mitochondria isolated from hearts of sham-operated control mice (thoracotomy without aortic banding),...	not available	040522_0391_12_sham_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	040522_0391_12_sham_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035622-Sample-7	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-7	tissue	1	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0358_2_Tac_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	040522_0358_2_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-7	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-7	tissue	1	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0358_2_Tac_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	040522_0358_2_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-8	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-8	tissue	2	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0360_3_Tac_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	040522_0360_3_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-8	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-8	tissue	2	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0360_3_Tac_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	040522_0360_3_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-9	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-9	tissue	3	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0387_6_Tac_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	040522_0387_6_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-9	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-9	tissue	3	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0387_6_Tac_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	040522_0387_6_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-10	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-10	tissue	4	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0366_8_Tac_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	040522_0366_8_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-10	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-10	tissue	4	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0366_8_Tac_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	040522_0366_8_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-11	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-11	tissue	5	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0376_10_Tac_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	040522_0376_10_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-11	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-11	tissue	5	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0376_10_Tac_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	040522_0376_10_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-12	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-12	tissue	6	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0317_11_Tac_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	040522_0317_11_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
PXD035622-Sample-12	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035622-Individual-12	tissue	6	Mitochondria isolated from hearts of mice subjected to transverse aortic constriction, harvested 4 weeks...	not available	040522_0317_11_Tac_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	040522_0317_11_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	tac
