source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[concentration of]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[cellosaurus accession]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[file uri]	comment[proteomexchange accession number]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[lowest observed m/z]	comment[highest observed m/z]
sample_1136	Homo sapiens	not available	not available	not applicable	K562	100,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run494	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Human_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Human_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1139	Homo sapiens	not available	not available	not applicable	K562	100,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run497	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Human_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Human_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1142	Homo sapiens	not available	not available	not applicable	K562	100,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run500	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Human_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Human_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1145	Homo sapiens	not available	not available	not applicable	K562	65,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run502	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1148	Homo sapiens	not available	not available	not applicable	K562	65,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run503	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1151	Homo sapiens	not available	not available	not applicable	K562	65,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run504	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1154	Homo sapiens	not available	not available	not applicable	K562	65,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run505	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1157	Homo sapiens	not available	not available	not applicable	K562	65,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	2	not available	not available	not available	not available	not available	run506	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1160	Homo sapiens	not available	not available	not applicable	K562	65,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	2	not available	not available	not available	not available	not available	run507	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1163	Homo sapiens	not available	not available	not applicable	K562	65,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run508	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
