source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[phenotype]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
oocytes_immature_IVF	Homo sapiens	ovary	primary oocyte	not available	not available	female	not available	germinal vesicle stage oocyte	cell	pooled	pooled	manual picking	not applicable	100	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130403_conventional_IVF_culture	1	1	130403SL_100oocytes_IVF_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
oocytes_mature_IVF	Homo sapiens	ovary	secondary oocyte	not available	not available	female	not available	metaphase II oocyte	cell	pooled	pooled	manual picking	not applicable	100	1	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130403_conventional_IVF_culture	1	1	130403SL_100oocytes_IVF_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
oocytes_immature_hangingdrop	Homo sapiens	ovary	primary oocyte	not available	not available	female	not available	germinal vesicle stage oocyte	cell	pooled	pooled	manual picking	not applicable	100	1	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130724_hanging_drop_culture	1	1	130724SL_100oocytes-hangingdropimmature1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
oocytes_immature_hangingdrop	Homo sapiens	ovary	primary oocyte	not available	not available	female	not available	germinal vesicle stage oocyte	cell	pooled	pooled	manual picking	not applicable	100	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130724_hanging_drop_culture	1	2	130724SL_100oocytes-hangingdropimmature2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	germinal vesicle stage oocyte
oocytes_mature_hangingdrop	Homo sapiens	ovary	secondary oocyte	not available	not available	female	not available	metaphase II oocyte	cell	pooled	pooled	manual picking	not applicable	100	1	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130724_hanging_drop_culture	1	1	130724SL_100oocytes-hangingdropmature1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
oocytes_mature_hangingdrop	Homo sapiens	ovary	secondary oocyte	not available	not available	female	not available	metaphase II oocyte	cell	pooled	pooled	manual picking	not applicable	100	1	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130724_hanging_drop_culture	1	2	130724SL_100oocytes-hangingdropmature2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	metaphase II oocyte
secretome_immature	Homo sapiens	ovary	not applicable	not available	not available	female	not available	secretome of germinal vesicle stage oocytes	not applicable	pooled	pooled	not applicable	not applicable	not applicable	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130724_hanging_drop_culture	1	1	130724SL_secretome-immature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	secretome of germinal vesicle stage oocytes
secretome_mature	Homo sapiens	ovary	not applicable	not available	not available	female	not available	secretome of metaphase II oocytes	not applicable	pooled	pooled	not applicable	not applicable	not applicable	1	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130724_hanging_drop_culture	1	1	130724SL_secretome-mature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	secretome of metaphase II oocytes
control_medium	not applicable	not applicable	not applicable	not applicable	not available	not applicable	not applicable	not applicable	not applicable	negative control	not applicable	not applicable	not applicable	not applicable	1	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	130724_hanging_drop_culture	1	1	130724SL_control-medium.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	not applicable
oocyte_SP3_1cell	Homo sapiens	ovary	oocyte	not available	not available	female	not available	not available	cell	single cell	not pooled	manual picking	oocyte_SP3_1cell	1	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=radial ejection linear ion trap;AC=MS:1000083	6 ppm	0.5 Da	140611_SP3_cell_number_titration	1	1	140611SL_1oocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	not available
