source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20190207_EV_JUT_Michi_R3C	20190207_EV_JUT_Michi_R3C	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190207_EV_JUT_Michi_R3C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190207_EV_JUT_Michi_R3C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190207_EV_JUT_Michi_R4A	20190207_EV_JUT_Michi_R4A	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190207_EV_JUT_Michi_R4A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190207_EV_JUT_Michi_R4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190207_EV_JUT_Michi_R4B	20190207_EV_JUT_Michi_R4B	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190207_EV_JUT_Michi_R4B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190207_EV_JUT_Michi_R4B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190207_EV_JUT_Michi_R4C	20190207_EV_JUT_Michi_R4C	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190207_EV_JUT_Michi_R4C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190207_EV_JUT_Michi_R4C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190215_EV_JUT_Michi_17	20190215_EV_JUT_Michi_17	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190215_EV_JUT_Michi_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190215_EV_JUT_Michi_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190215_EV_JUT_Michi_18	20190215_EV_JUT_Michi_18	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190215_EV_JUT_Michi_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190215_EV_JUT_Michi_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190215_EV_JUT_Michi_19	20190215_EV_JUT_Michi_19	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190215_EV_JUT_Michi_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190215_EV_JUT_Michi_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190215_EV_JUT_Michi_21	20190215_EV_JUT_Michi_21	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190215_EV_JUT_Michi_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190215_EV_JUT_Michi_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190215_EV_JUT_Michi_23	20190215_EV_JUT_Michi_23	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190215_EV_JUT_Michi_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190215_EV_JUT_Michi_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190215_EV_JUT_Michi_24	20190215_EV_JUT_Michi_24	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190215_EV_JUT_Michi_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190215_EV_JUT_Michi_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
20190215_EV_Michi_Inulinivorans.pdResult	20190215_EV_Michi_Inulinivorans.pdResult	Akkermansia muciniphila atcc baa-835	Gut	not applicable	not available	Shotgun_proteomics_of_Roseburia_grown_on_human_milk_oligosaccharides_and_of_Roseburia_grown_on_mucin_in_co-culture_with_Akkermansia_muciniphilia	Gut	Gut	not available	not available	not available	not available	1	20190215_EV_Michi_Inulinivorans.pdResult	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	20190215_EV_Michi_Inulinivorans.pdResult	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Gut
