source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_03.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_03.c.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_04.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_04.c.mzXML	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_05.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_05.c.mzXML	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_06.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_06.c.mzXML	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_07.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_07.c.mzXML	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_08.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_08.c.mzXML	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_09.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_09.c.mzXML	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_10.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_10.c.mzXML	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_13.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_13.c.mzXML	1	9	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD050928-sample	saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	synthetic	reference	not available	30 Å	not available	not available	220314_QE1_ulianaf_YB_03_14.c.mzXML	proteomic profiling by mass spectrometry	220314_QE1_ulianaf_YB_03_14.c.mzXML	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DSS;AC=XLMOD:02001	not available	not available	NH3HCO3	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
